id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	language_region	pop_ad725	directions	direction_min_distance	language	hunter_gatherer	farming	snp	agricultural_capable
23	oki	隠岐	6	4	20	110	0	0	chugoku_jomon	oki	13200	1/1/1/1/10/1/1/1	160	0	255	0	0	1
24	inaba	因幡	6	4	20	50	0	0	chugoku_jomon	inaba	54900	2/2/4/2/1/1/10/10	160	0	255	0	0	1
25	tajima	但馬	6	4	20	70	0	0	chugoku_jomon	tajima	64800	2/2/2/1/1/4/10/10	160	0	255	0	0	1
26	tango	丹後	6	4	20	60	0	0	chugoku_jomon	tango	38400	2/2/2/2/2/4/10/4	160	0	255	0	0	1
27	tanba	丹波	7	4	20	60	0	0	kinki_jomon	tanba	74700	2/2/2/2/2/10/4/4	160	0	255	0	0	1
28	iyo	伊予	4	4	20	370	0	0	shikoku_jomon	iyo	79100	4/2/1/1/1/1/4/10	160	0	255	0	0	1
29	tosa	土佐	4	4	20	50	0	0	shikoku_jomon	tosa	47200	4/4/1/1/1/1/2/4	160	0	255	0	0	1
30	awa	阿波	4	4	20	50	0	0	shikoku_jomon	awa	50500	2/2/1/1/1/1/4/4	160	0	255	0	0	1
31	sanuki	讃岐	4	4	20	50	0	0	shikoku_jomon	sanuki	98800	10/10/2/4/4/4/2/10	160	0	255	0	0	1
32	awaji	淡路	7	4	20	70	0	0	kinki_jomon	awaji	18700	4/2/2/2/1/2/10/10	160	0	255	0	0	1
33	kii	紀伊	7	4	20	440	0	0	kinki_jomon	kii	61500	2/2/2/10/4/4/2/2	160	0	255	0	0	1
34	yamato	大和	8	4	20	610	0	0	kinki_jomon	yamato	171700	2/2/1/1/1/1/1/2	160	0	255	0	0	1
35	kawachi	河内	8	4	20	60	0	0	kinki_jomon	kawachi	87900	1/1/1/1/1/1/2/1	160	0	255	0	0	1
36	yamashiro	山城	8	4	20	60	0	0	kinki_jomon	yamashiro	85700	1/1/1/1/2/2/2/1	160	0	255	0	0	1
37	izumi	和泉	8	4	20	60	0	0	kinki_jomon	izumi	26400	2/1/1/1/1/1/2/2	160	0	255	0	0	1
38	settsu	摂津	8	4	20	60	0	0	kinki_jomon	settsu	85700	1/2/1/1/2/4/10/4	160	0	255	0	0	1
39	wakasa	若狭	11	4	20	40	0	0	chubu_jomon	wakasa	23100	2/1/2/1/1/2/4/10	160	0	255	0	0	1
40	echizen	越前	11	4	20	40	0	0	chubu_jomon	echizen	60400	10/2/1/2/1/1/2/10	160	0	255	0	0	1
41	kaga	加賀	11	4	20	270	0	0	chubu_jomon	kaga	32900	10/2/1/1/1/1/2/10	160	0	255	0	0	1
42	etchu	越中	11	4	20	860	0	0	chubu_jomon	etchu	46100	2/4/2/2/2/1/4/10	160	0	255	0	0	1
43	noto	能登	11	4	20	270	0	0	chubu_jomon	noto	28600	1/1/1/1/4/4/10/4	160	0	255	0	0	1
44	echigo	越後	11	4	20	3290	0	0	chubu_jomon	echigo	37300	4/2/2/4/4/4/1/4	160	0	255	0	0	1
45	sado	佐渡	11	4	20	470	0	0	chubu_jomon	sado	24200	1/1/1/4/4/4/4/4	160	0	255	0	0	1
46	shima	志摩	7	4	20	150	0	0	kinki_jomon	shima	154000	4/2/2/2/1/1/1/4	160	0	255	0	0	1
47	ise	伊勢	7	4	20	150	0	0	kinki_jomon	ise	103200	2/2/2/2/1/1/4/10	160	0	255	0	0	1
48	iga	伊賀	7	4	20	150	0	0	kinki_jomon	iga	19800	1/1/1/1/1/1/1/4	160	0	255	0	0	1
49	owari	尾張	9	4	20	2510	0	0	chubu_jomon	owari	75800	2/2/1/2/1/4/10/2	160	0	255	0	0	1
50	mikawa	参河	9	4	20	2510	0	0	chubu_jomon	mikawa	75800	2/2/2/1/1/4/10/4	160	0	255	0	0	1
51	totomi	遠江	9	4	20	570	0	0	chubu_jomon	totomi	105400	1/4/2/1/1/2/4/10	160	0	255	0	0	1
52	suruga	駿河	9	4	20	570	0	0	chubu_jomon	suruga	64800	4/1/1/4/2/4/4/10	160	0	255	0	0	1
53	izu	伊豆	9	4	20	560	0	0	chubu_jomon	izu	23100	4/2/2/1/1/1/1/10	160	0	255	0	0	1
54	kai	甲斐	10	4	20	440	0	0	chubu_jomon	kai	34000	2/4/2/2/2/2/2/2	160	0	255	0	0	1
55	sagami	相模	12	4	20	280	0	0	kanto_jomon	sagami	73600	4/4/2/2/1/2/4/10	160	0	255	0	0	1
56	musashi	武蔵	12	4	20	2650	0	0	kanto_jomon	musashi	130700	4/10/2/2/2/4/4/4	160	0	255	0	0	1
57	shimosa	下総	12	4	20	690	0	0	kanto_jomon	shimosa	99900	4/4/4/2/2/1/1/2	160	0	255	0	0	1
58	kazusa	上総	12	4	20	270	0	0	kanto_jomon	kazusa	83500	2/4/4/2/2/1/1/1	160	0	255	0	0	1
59	awa1	安房	12	4	20	270	0	0	kanto_jomon	awa1	35100	4/10/2/1/1/1/1/2	160	0	255	0	0	1
60	hitachi	常陸	13	4	20	1220	0	0	kanto_jomon	hitachi	168000	4/10/2/2/2/2/2/2	160	0	255	0	0	1
61	omi	近江	7	4	20	150	0	0	kinki_jomon	omi	102100	2/2/2/2/4/4/10/2	160	0	255	0	0	1
62	mino	美濃	9	4	20	1360	0	0	chubu_jomon	mino	143900	4/10/2/2/4/10/2/2	160	0	255	0	0	1
63	hida	飛騨	10	4	20	1360	0	0	chubu_jomon	hida	14300	4/4/2/2/2/2/2/4	160	0	255	0	0	1
64	shinano	信濃	10	4	20	2910	0	0	chubu_jomon	shinano	73600	1/1/1/1/1/1/1/1	160	0	255	0	0	1
65	kozuke	上野	13	4	20	710	0	0	kanto_jomon	kozuke	112000	4/4/1/1/2/2/2/4	160	0	255	0	0	1
66	shimotsuke	下野	13	4	20	1760	0	0	kanto_jomon	shimotsuke	76900	4/4/2/2/2/4/2/4	160	0	255	0	0	1
67	fukushima	福島	15	4	20	13870	0	0	tohoku_jomon	fukushima	206500	2/2/4/4/10/2/2/4	160	2	255	0	0	1
68	yamagata	山形	14	4	20	9330	0	0	tohoku_jomon	yamagata	78000	2/2/2/2/10/4/4/2	160	2	255	0	0	1
69	akita	秋田	15	4	20	11610	0	0	tohoku_jomon	akita	0	1/1/1/1/1/1/1/1	160	2	255	0	0	1
70	miyagi	宮城	16	4	20	7290	0	0	hokkaido_jomon	miyagi	0	1/1/1/1/1/1/1/1	160	2	255	0	0	1
71	iwate	岩手	16	4	20	15380	0	0	hokkaido_jomon	iwate	0	1/1/1/1/1/1/1/1	160	2	255	0	0	1
72	aomori	青森	16	4	20	9610	0	0	hokkaido_jomon	aomori	0	1/1/1/1/1/1/1/1	160	2	255	0	0	1
73	toraijin_land	渡来人	0	0	0	0	0	0	toraijin	toraijin_land	0	1/1/1/1/1/1/1/1	160	3	0	255	255	1
74	donan	道南	16	4	20	2960	0	0	hokkaido_jomon	donan	2960	1/1/1/1/1/1/1/1	160	2	255	0	0	0
75	dochu	道中	16	4	20	10240	0	0	hokkaido_jomon	dochu	10240	1/1/1/1/1/1/1/1	160	2	255	0	0	0
76	dohoku	道北	16	4	20	8410	0	0	hokkaido_jomon	dohoku	8410	1/1/1/1/1/1/1/1	160	2	255	0	0	0
77	doto	道東	16	4	20	13620	0	0	hokkaido_jomon	doto	13620	1/1/1/1/1/1/1/1	160	2	255	0	0	0
78	habomai	歯舞群島	16	4	20	40	0	0	hokkaido_jomon	habomai	40	1/1/1/1/1/1/1/1	160	2	255	0	0	0
79	shikotan	色丹島	16	4	20	110	0	0	hokkaido_jomon	shikotan	110	1/1/1/1/1/1/1/1	160	2	255	0	0	0
80	kunashir	国後島	16	4	20	670	0	0	hokkaido_jomon	kunashir	670	1/1/1/1/1/1/1/1	160	2	255	0	0	0
81	iturup	択捉島	16	4	20	1430	0	0	hokkaido_jomon	iturup	1430	1/1/1/1/1/1/1/1	160	2	255	0	0	0
82	osumi	大隅諸島	1	4	20	410	0	0	southern_islands_jomon	osumi	410	1/1/1/1/1/1/1/1	160	1	255	0	0	1
83	tokara	吐噶喇列島	1	4	20	40	0	0	southern_islands_jomon	tokara	40	1/1/1/1/1/1/1/1	160	1	255	0	0	1
84	amami	奄美群島	1	4	20	500	0	0	southern_islands_jomon	amami	500	1/1/1/1/1/1/1/1	160	1	255	0	0	1
85	okinawa	沖縄諸島	1	4	20	760	0	0	southern_islands_jomon	okinawa	760	1/1/1/1/1/1/1/1	160	1	255	0	0	1
86	daito	大東諸島	1	4	20	20	0	0	southern_islands_jomon	daito	20	1/1/1/1/1/1/1/1	160	1	255	0	0	1
87	sakishima	先島諸島	1	4	20	340	0	0	southern_islands_jomon	sakishima	340	1/1/1/1/1/1/1/1	160	1	255	0	0	1
88	north_izu	北伊豆諸島	1	4	20	0	0	0	kanto_jomon	north_izu	120	1/1/1/1/1/1/1/1	160	0	255	0	0	1
89	south_izu	南伊豆諸島	1	4	20	40	0	0	kanto_jomon	south_izu	40	1/1/1/1/1/1/1/1	160	0	255	0	0	1
90	ogasawara	小笠原諸島	1	4	20	40	0	0	southern_islands_jomon	ogasawara	40	1/1/1/1/1/1/1/1	160	0	255	0	0	1
