id	name	ja-JP	region	language	hunter_gatherer	farming	snp	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	language_region	pop_ad725	directions	direction_min_distance
50	mikawa	参河	9	0	0	0	0	4	20	1686	0	0	chubu_jomon	test_lang	test_lang	75800	1/1/1/1/1/1/1/1
51	totomi	遠江	9	0	0	0	0	4	20	2346	0	0	chubu_jomon	test_lang	test_lang	105400	1/1/1/1/1/1/1/1
52	suruga	駿河	9	0	0	0	0	4	20	1442	0	0	chubu_jomon	test_lang	test_lang	64800	1/1/1/1/1/1/1/1
53	izu	伊豆	9	0	0	0	0	4	20	514	0	0	chubu_jomon	test_lang	test_lang	23100	1/1/1/1/1/1/1/1
54	kai	甲斐	10	0	0	0	0	4	20	4746	0	0	chubu_jomon	test_lang	test_lang	34000	1/1/1/1/1/1/1/1
55	sagami	相模	12	0	0	0	0	4	20	2078	0	0	kanto_jomon	test_lang	test_lang	73600	1/1/1/1/1/1/1/1
56	musashi	武蔵	12	0	0	0	0	4	20	3690	0	0	kanto_jomon	test_lang	test_lang	130700	1/1/1/1/1/1/1/1
57	shimosa	下総	12	0	0	0	0	4	20	2820	0	0	kanto_jomon	test_lang	test_lang	99900	1/1/1/1/1/1/1/1
58	kazusa	上総	12	0	0	0	0	4	20	2358	0	0	kanto_jomon	test_lang	test_lang	83500	1/1/1/1/1/1/1/1
59	awa1	安房	12	0	0	0	0	4	20	990	0	0	kanto_jomon	test_lang	test_lang	35100	1/1/1/1/1/1/1/1
60	hitachi	常陸	13	0	0	0	0	4	20	3698	0	0	kanto_jomon	test_lang	test_lang	168000	1/1/1/1/1/1/1/1
61	omi	近江	7	0	0	0	0	4	20	2236	0	0	kinki_jomon	test_lang	test_lang	102100	1/1/1/1/1/1/1/1
62	mino	美濃	9	0	0	0	0	4	20	3202	0	0	chubu_jomon	test_lang	test_lang	143900	1/1/1/1/1/1/1/1
63	hida	飛騨	10	0	0	0	0	4	20	1996	0	0	chubu_jomon	test_lang	test_lang	14300	1/1/1/1/1/1/1/1
64	shinano	信濃	10	0	0	0	0	4	20	10276	0	0	chubu_jomon	test_lang	test_lang	73600	1/1/1/1/1/1/1/1
65	kozuke	上野	13	0	0	0	0	4	20	2466	0	0	kanto_jomon	test_lang	test_lang	112000	1/1/1/1/1/1/1/1
66	shimotsuke	下野	13	0	0	0	0	4	20	1692	0	0	kanto_jomon	test_lang	test_lang	76900	1/1/1/1/1/1/1/1
67	mutsu	陸奥	15	0	0	0	0	4	20	5740	0	0	tohoku_jomon	test_lang	test_lang	206500	1/1/1/1/1/1/1/1
68	dewa	出羽	14	0	0	0	0	4	20	940	0	0	tohoku_jomon	test_lang	test_lang	78000	1/1/1/1/1/1/1/1
69	ezo_honshu	蝦夷(本州)	15	0	0	0	0	4	20	2000	0	0	tohoku_jomon	test_lang	test_lang	0	1/1/1/1/1/1/1/1
70	ezo_hokkaido	蝦夷(北海道)	16	0	0	0	0	4	20	0	0	0	hokkaido_jomon	test_lang	test_lang	0	1/1/1/1/1/1/1/1
71	ezo_chishima	蝦夷(千島列島)	16	0	0	0	0	4	20	0	0	0	hokkaido_jomon	test_lang	test_lang	0	1/1/1/1/1/1/1/1
72	ezo_karafuto	蝦夷(樺太)	16	0	0	0	0	4	20	0	0	0	hokkaido_jomon	test_lang	test_lang	0	1/1/1/1/1/1/1/1
73	toraijin_land	渡来人	0	0	0	0	0	0	0	0	0	0	toraijin	test_lang	test_lang	0	1/1/1/1/1/1/1/1
74	null_a	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
75	null_b	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
76	null_c	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
77	null_d	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
78	null_e	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
79	null_f	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
80	null_g	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
81	null_h	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
82	null_i	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
83	null_j	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
84	null_k	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
85	null_l	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
86	null_m	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
87	null_n	test_lang	0	0	0	0	0	4	20	0	0	0		test_lang	0	1/1/1/1/1/1/1/1	10000
88	ogasawara	小笠原諸島	1	0	0	0	0	4	20	0	0	0	southern_islands_jomon	test_lang	test_lang	0	1/1/1/1/1/1/1/1
89	izu1	伊豆諸島	1	0	0	0	0	4	20	0	0	0	southern_islands_jomon	test_lang	test_lang	0	1/1/1/1/1/1/1/1
90	ryukyu	琉球諸島	1	0	0	0	0	4	20	0	0	0	southern_islands_jomon	test_lang	test_lang	0	1/1/1/1/1/1/1/1
