key	file_path	type	description	min_size	max_size	first_julian_day	last_julian_day	texture
Ruler3	Data/Person/Maya/5th century/Ruler 3.tsv	view_person	???	0	1000	0	9948341	Pakal
Ruler5	Data/Person/Maya/5th century/Ruler 5.tsv	view_person	???	0	1000	0	9948341	Pakal
RulerX	Data/Person/Maya/5th century/Ruler X.tsv	view_person	???	0	1000	0	9948341	Pakal
SihyajChanKawiilII	Data/Person/Maya/5th century/Sihyaj Chan Kawiil II.tsv	view_person	???	0	1000	0	9948341	Pakal
TokCasper	Data/Person/Maya/5th century/Tok Casper.tsv	view_person	???	0	1000	0	9948341	Pakal
TutuumYohlKinich	Data/Person/Maya/5th century/Tutuum Yohl Kinich.tsv	view_person	???	0	1000	0	9948341	Pakal
YajawTeKinichI	Data/Person/Maya/5th century/Yajaw Te Kinich I.tsv	view_person	???	0	1000	0	9948341	Pakal
YaxNuunAhiinI	Data/Person/Maya/5th century/Yax Nuun Ahiin I.tsv	view_person	???	0	1000	0	9948341	Pakal
AnimalSkull	Data/Person/Maya/6th century/Animal Skull.tsv	view_person	???	0	1000	0	9948341	Pakal
BalamNehn	Data/Person/Maya/6th century/Balam Nehn.tsv	view_person	???	0	1000	0	9948341	Pakal
BirdClaw	Data/Person/Maya/6th century/Bird Claw.tsv	view_person	???	0	1000	0	9948341	Pakal
ButzAjSakChiik	Data/Person/Maya/6th century/Butz Aj Sak Chiik.tsv	view_person	???	0	1000	0	9948341	Pakal
KaloomteBahlam	Data/Person/Maya/6th century/Kaloomte Bahlam.tsv	view_person	???	0	1000	0	9948341	Pakal
KanBahlamI	Data/Person/Maya/6th century/Kan Bahlam I.tsv	view_person	???	0	1000	0	9948341	Pakal
KanJoyChitamI	Data/Person/Maya/6th century/Kan Joy Chitam I.tsv	view_person	???	0	1000	0	9948341	Pakal
ScrollSerpent	Data/Person/Maya/6th century/Scroll Serpent.tsv	view_person	???	0	1000	0	9948341	Pakal
Sak-Lu	Data/Person/Maya/6th century/Sak-Lu.tsv	view_person	???	0	1000	0	9948341	Pakal
PiedrasNegrasRulerC	Data/Person/Maya/6th century/Piedras Negras Ruler C.tsv	view_person	???	0	1000	0	9948341	Pakal
AhkalMoNahbII	Data/Person/Maya/6th century/Ahkal Mo Nahb II.tsv	view_person	???	0	1000	0	9948341	Pakal
AhkalMoNahbI	Data/Person/Maya/6th century/Ahkal Mo Nahb I.tsv	view_person	???	0	1000	0	9948341	Pakal
LadyofTikal	Data/Person/Maya/6th century/Lady of Tikal.tsv	view_person	???	0	1000	0	9948341	Pakal
KanI	Data/Person/Maya/6th century/Kan I.tsv	view_person	???	0	1000	0	9948341	Pakal
KakChanYopaat	Data/Person/Maya/6th century/Kak Chan Yopaat.tsv	view_person	???	0	1000	0	9948341	Pakal
KnotAjaw	Data/Person/Maya/6th century/Knot Ajaw.tsv	view_person	???	0	1000	0	9948341	Pakal
Tzi-Balam	Data/Person/Maya/6th century/Tzi-Balam.tsv	view_person	???	0	1000	0	9948341	Pakal
TuunKabHix	Data/Person/Maya/6th century/Tuun Kab Hix.tsv	view_person	???	0	1000	0	9948341	Pakal
SkyWitness	Data/Person/Maya/6th century/Sky Witness.tsv	view_person	???	0	1000	0	9948341	Pakal
YajawTeKinichII	Data/Person/Maya/6th century/Yajaw Te Kinich II.tsv	view_person	???	0	1000	0	9948341	Pakal
WilOhlKinich	Data/Person/Maya/6th century/Wil Ohl Kinich.tsv	view_person	???	0	1000	0	9948341	Pakal
WakChanKawiil	Data/Person/Maya/6th century/Wak Chan Kawiil.tsv	view_person	???	0	1000	0	9948341	Pakal
YuknoomCheenI	Data/Person/Maya/6th century/Yuknoom Cheen I.tsv	view_person	???	0	1000	0	9948341	Pakal
YohlIknal	Data/Person/Maya/6th century/Yohl Iknal.tsv	view_person	???	0	1000	0	9948341	Pakal
YaxYopaat	Data/Person/Maya/6th century/Yax Yopaat.tsv	view_person	???	0	1000	0	9948341	Pakal
KinichKanBahlamII	Data/Person/Maya/7th century/Kinich Kan Bahlam II.tsv	view_person	キニッチ・カン・バフラム2世	0	1000	0	9948341	Pakal
BalajChanKawiil	Data/Person/Maya/7th century/Balaj Chan Kawiil.tsv	view_person	バラフ・チャン・カウィール	0	1000	0	9948341	Pakal
ChanImixKawiil	Data/Person/Maya/7th century/Chan Imix Kawiil.tsv	view_person	チャン・イミックス・カウィール	0	1000	0	9948341	Pakal
ItzamKanAhkI	Data/Person/Maya/7th century/Itzam Kan Ahk I.tsv	view_person	イツァム・カン・アック1世	0	1000	0	9948341	Pakal
JasawChanKawiilI	Data/Person/Maya/7th century/Jasaw Chan Kawiil I.tsv	view_person	ジャソー・チャン・カウィール1世	0	1000	0	9948341	Pakal
KinichYonalAhkI	Data/Person/Maya/7th century/Kinich Yonal Ahk I.tsv	view_person	キニッチ・ヨナル・アフ1世	0	1000	0	9948341	Pakal
KinichJanaabPakalI	Data/Person/Maya/7th century/Kinich Janaab Pakal I.tsv	view_person	キニチ・ハナーブ・パカル1世	0	1000	0	9948341	Pakal
Adomnan	Data/Person/Europe/Scotland/7th century/Adomnan.tsv	view_person	???	0	1000	0	9948341	Unknown
AebbeofColdingham	Data/Person/Europe/Scotland/7th century/Aebbe of Coldingham.tsv	view_person	???	0	1000	0	9948341	Unknown
MolaiseofLeighlin	Data/Person/Europe/Scotland/7th century/Molaise of Leighlin.tsv	view_person	???	0	1000	0	9948341	Unknown
BrideisonofBeli	Data/Person/Europe/Scotland/7th century/Bridei son of Beli.tsv	view_person	???	0	1000	0	9948341	Unknown
LlywarchHen	Data/Person/Europe/Wales/7th century/Llywarch Hen.tsv	view_person	???	0	1000	0	9948341	Unknown
AthrwysapMeurig	Data/Person/Europe/Wales/7th century/Athrwys ap Meurig.tsv	view_person	???	0	1000	0	9948341	Unknown
Oudoceus	Data/Person/Europe/Wales/7th century/Oudoceus.tsv	view_person	???	0	1000	0	9948341	Unknown
IagoapBeli	Data/Person/Europe/Wales/7th century/Iago ap Beli.tsv	view_person	???	0	1000	0	9948341	Unknown
AlainIIHir	Data/Person/Europe/Brittany/7th century/Alain II Hir.tsv	view_person	???	0	1000	0	9948341	Unknown
SaintJudicael	Data/Person/Europe/Brittany/7th century/Saint Judicael.tsv	view_person	???	0	1000	0	9948341	Unknown
SaintGobrain	Data/Person/Europe/Brittany/7th century/Saint Gobrain.tsv	view_person	???	0	1000	0	9948341	Unknown
SaintJudoc	Data/Person/Europe/Brittany/7th century/Saint Judoc.tsv	view_person	???	0	1000	0	9948341	Unknown
SaintMalo	Data/Person/Europe/Brittany/7th century/Saint Malo.tsv	view_person	???	0	1000	0	9948341	Unknown
Mewan	Data/Person/Europe/Brittany/7th century/Mewan.tsv	view_person	???	0	1000	0	9948341	Unknown
SaintOnenne	Data/Person/Europe/Brittany/7th century/Saint Onenne.tsv	view_person	???	0	1000	0	9948341	Unknown
BrunhildaofAustrasia	Data/Person/Europe/Visigothic Kingdom/7th century/Brunhilda of Austrasia.tsv	view_person	???	0	1000	0	9948341	Unknown
IreneofTomar	Data/Person/Europe/Visigothic Kingdom/7th century/Irene of Tomar.tsv	view_person	???	0	1000	0	9948341	Unknown
JohnofBiclaro	Data/Person/Europe/Visigothic Kingdom/7th century/John of Biclaro.tsv	view_person	???	0	1000	0	9948341	Unknown
ValerioofBierzo	Data/Person/Europe/Visigothic Kingdom/7th century/Valerio of Bierzo.tsv	view_person	???	0	1000	0	9948341	Unknown
Wittiza	Data/Person/Europe/Visigothic Kingdom/7th century/Wittiza.tsv	view_person	???	0	1000	0	9948341	Unknown
Chindasuinth	Data/Person/Europe/Visigothic Kingdom/7th century/Chindasuinth.tsv	view_person	???	0	1000	0	9948341	Unknown
Chintila	Data/Person/Europe/Visigothic Kingdom/7th century/Chintila.tsv	view_person	???	0	1000	0	9948341	Unknown
Egica	Data/Person/Europe/Visigothic Kingdom/7th century/Egica.tsv	view_person	???	0	1000	0	9948341	Unknown
Erwig	Data/Person/Europe/Visigothic Kingdom/7th century/Erwig.tsv	view_person	???	0	1000	0	9948341	Unknown
LiuvaII	Data/Person/Europe/Visigothic Kingdom/7th century/Liuva II.tsv	view_person	???	0	1000	0	9948341	Unknown
ReccaredI	Data/Person/Europe/Visigothic Kingdom/7th century/Reccared I.tsv	view_person	???	0	1000	0	9948341	Unknown
Sisebut	Data/Person/Europe/Visigothic Kingdom/7th century/Sisebut.tsv	view_person	???	0	1000	0	9948341	Unknown
Sisenand	Data/Person/Europe/Visigothic Kingdom/7th century/Sisenand.tsv	view_person	???	0	1000	0	9948341	Unknown
Suintila	Data/Person/Europe/Visigothic Kingdom/7th century/Suintila.tsv	view_person	???	0	1000	0	9948341	Unknown
Wamba	Data/Person/Europe/Visigothic Kingdom/7th century/Wamba.tsv	view_person	???	0	1000	0	9948341	Unknown
Witteric	Data/Person/Europe/Visigothic Kingdom/7th century/Witteric.tsv	view_person	???	0	1000	0	9948341	Unknown
Kubrat	Data/Person/Europe/7th century/Kubrat.tsv	view_person	???	0	1000	0	9948341	Unknown
RadbodofFrisia	Data/Person/Europe/7th century/Radbod of Frisia.tsv	view_person	???	0	1000	0	9948341	Unknown
StephenofKakheti	Data/Person/Europe/7th century/Stephen of Kakheti.tsv	view_person	???	0	1000	0	9948341	Unknown
AelfwineofDeira	Data/Person/Europe/England/7th century/Aelfwine of Deira.tsv	view_person	???	0	1000	0	9948341	Unknown
AethelberhtofKent	Data/Person/Europe/England/7th century/Aethelberht of Kent.tsv	view_person	???	0	1000	0	9948341	Unknown
AethelredofMercia	Data/Person/Europe/England/7th century/Aethelred of Mercia.tsv	view_person	???	0	1000	0	9948341	Unknown
Alhfrith	Data/Person/Europe/England/7th century/Alhfrith.tsv	view_person	???	0	1000	0	9948341	Unknown
PetrocBaladrddellt	Data/Person/Europe/England/7th century/Petroc Baladrddellt.tsv	view_person	???	0	1000	0	9948341	Unknown
ClemenapBledric	Data/Person/Europe/England/7th century/Clemen ap Bledric.tsv	view_person	???	0	1000	0	9948341	Unknown
Caedwalla	Data/Person/Europe/England/7th century/Caedwalla.tsv	view_person	???	0	1000	0	9948341	Unknown
EanfrithofBernicia	Data/Person/Europe/England/7th century/Eanfrith of Bernicia.tsv	view_person	???	0	1000	0	9948341	Unknown
EcgfrithofNorthumbria	Data/Person/Europe/England/7th century/Ecgfrith of Northumbria.tsv	view_person	???	0	1000	0	9948341	Unknown
EdwinofNorthumbria	Data/Person/Europe/England/7th century/Edwin of Northumbria.tsv	view_person	???	0	1000	0	9948341	Unknown
OethelwaldofDeira	Data/Person/Europe/England/7th century/Oethelwald of Deira.tsv	view_person	???	0	1000	0	9948341	Unknown
OswaldofNorthumbria	Data/Person/Europe/England/7th century/Oswald of Northumbria.tsv	view_person	???	0	1000	0	9948341	Unknown
Oswiu	Data/Person/Europe/England/7th century/Oswiu.tsv	view_person	???	0	1000	0	9948341	Unknown
PendaofMercia	Data/Person/Europe/England/7th century/Penda of Mercia.tsv	view_person	???	0	1000	0	9948341	Unknown
SaebbiofEssex	Data/Person/Europe/England/7th century/Saebbi of Essex.tsv	view_person	???	0	1000	0	9948341	Unknown
WihtredofKent	Data/Person/Europe/England/7th century/Wihtred of Kent.tsv	view_person	???	0	1000	0	9948341	Unknown
WulfhereofMercia	Data/Person/Europe/England/7th century/Wulfhere of Mercia.tsv	view_person	???	0	1000	0	9948341	Unknown
FujiwaranoFuhito	Data/Person/Japan/NaraPeriod/Fujiwara no Fuhito.tsv	view_person	藤原不比等	0	1000	0	9948341	Unknown
HikaminoShioyaki	Data/Person/Japan/NaraPeriod/Hikami no Shioyaki.tsv	view_person	氷上塩焼	0	1000	0	9948341	Unknown
HozuminoOyu	Data/Person/Japan/NaraPeriod/Hozumi no Oyu.tsv	view_person	穂積老	0	1000	0	9948341	Unknown
KudaranoKonikishiEnpo	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Enpo.tsv	view_person	百済王遠宝	0	1000	0	9948341	Unknown
KudaranoKonikishiGanchu	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Ganchu.tsv	view_person	百済王元忠	0	1000	0	9948341	Unknown
KudaranoKonikishiJikyo	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Jikyo.tsv	view_person	百済王慈敬	0	1000	0	9948341	Unknown
KudaranoKonikishiKochu	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Kochu.tsv	view_person	百済王孝忠	0	1000	0	9948341	Unknown
KudaranoKonikishiKyofuku	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Kyofuku.tsv	view_person	百済王敬福	0	1000	0	9948341	Unknown
KudaranoKonikishiNanten	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Nanten.tsv	view_person	百済王南典	0	1000	0	9948341	Unknown
KudaranoKonikishiNinjo	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Ninjo.tsv	view_person	百済王仁貞	0	1000	0	9948341	Unknown
KudaranoKonikishiRihaku	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Rihaku.tsv	view_person	百済王理伯	0	1000	0	9948341	Unknown
KudaranoKonikishiRizen	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Rizen.tsv	view_person	百済王利善	0	1000	0	9948341	Unknown
KudaranoKonikishiShuntetsu	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Shuntetsu.tsv	view_person	百済王俊哲	0	1000	0	9948341	Unknown
KudaranoKonikishiZenpuku	Data/Person/Japan/NaraPeriod/Kudara no Konikishi Zenpuku.tsv	view_person	百済王全福	0	1000	0	9948341	Unknown
MiwanoTakechimaro	Data/Person/Japan/NaraPeriod/Miwa no Takechimaro.tsv	view_person	三輪高市麻呂	0	1000	0	9948341	Unknown
SaekinoImaemishi	Data/Person/Japan/NaraPeriod/Saeki no Imaemishi.tsv	view_person	佐伯今毛人	0	1000	0	9948341	Unknown
SaekinoMatanari	Data/Person/Japan/NaraPeriod/Saeki no Matanari.tsv	view_person	佐伯全成	0	1000	0	9948341	Unknown
SakanouenoInukai	Data/Person/Japan/NaraPeriod/Sakanoue no Inukai.tsv	view_person	坂上犬養	0	1000	0	9948341	Unknown
SakanouenoKaritamaro	Data/Person/Japan/NaraPeriod/Sakanoue no Karitamaro.tsv	view_person	坂上苅田麻呂	0	1000	0	9948341	Unknown
YugenoKiyohito	Data/Person/Japan/NaraPeriod/Yuge no Kiyohito.tsv	view_person	弓削浄人	0	1000	0	9948341	Unknown
HekinoKiyotari	Data/Person/Japan/NaraPeriod/Heki no Kiyotari.tsv	view_person	日置浄足	0	1000	0	9948341	Unknown
HekinoMichikata	Data/Person/Japan/NaraPeriod/Heki no Michikata.tsv	view_person	日置道形	0	1000	0	9948341	Unknown
HekinoMinomaro	Data/Person/Japan/NaraPeriod/Heki no Minomaro.tsv	view_person	日置蓑麻呂	0	1000	0	9948341	Unknown
HekinoOminari	Data/Person/Japan/NaraPeriod/Heki no Ominari.tsv	view_person	日置雄三成	0	1000	0	9948341	Unknown
HekinoSademaro	Data/Person/Japan/NaraPeriod/Heki no Sademaro.tsv	view_person	日置佐堤麻呂	0	1000	0	9948341	Unknown
HikaminoKawatsugu	Data/Person/Japan/NaraPeriod/Hikami no Kawatsugu.tsv	view_person	氷上川継	0	1000	0	9948341	Unknown
HikaminoShikeshimaro	Data/Person/Japan/NaraPeriod/Hikami no Shikeshimaro.tsv	view_person	氷上志計志麻呂	0	1000	0	9948341	Unknown
MinonoIshimori	Data/Person/Japan/NaraPeriod/Mino no Ishimori.tsv	view_person	三野石守	0	1000	0	9948341	Unknown
MinonoNamiuo	Data/Person/Japan/NaraPeriod/Mino no Namiuo.tsv	view_person	三野浪魚	0	1000	0	9948341	Unknown
MinonoObayashi	Data/Person/Japan/NaraPeriod/Mino no Obayashi.tsv	view_person	三野小林	0	1000	0	9948341	Unknown
MinonoOtomasu	Data/Person/Japan/NaraPeriod/Mino no Otomasu.tsv	view_person	三野乙益	0	1000	0	9948341	Unknown
MinonoSonoki	Data/Person/Japan/NaraPeriod/Mino no Sonoki.tsv	view_person	三野園生	0	1000	0	9948341	Unknown
MinonoUmakai	Data/Person/Japan/NaraPeriod/Mino no Umakai.tsv	view_person	三野馬甘	0	1000	0	9948341	Unknown
HiketanoMushimaro	Data/Person/Japan/NaraPeriod/Hiketa no Mushimaro.tsv	view_person	引田虫麻呂	0	1000	0	9948341	Unknown
MoronoKurao	Data/Person/Japan/NaraPeriod/Moro no Kurao.tsv	view_person	諸鞍男	0	1000	0	9948341	Unknown
OnonoTamori	Data/Person/Japan/NaraPeriod/Ono no Tamori.tsv	view_person	小野田守	0	1000	0	9948341	Unknown
OtomonoInukai	Data/Person/Japan/NaraPeriod/Otomo no Inukai.tsv	view_person	大伴犬養	0	1000	0	9948341	Unknown
Sakanoue_no_Tamuramaro	Data/Person/Japan/NaraPeriod/Sakanoue_no_Tamuramaro.tsv	view_person	???	0	1000	0	9948341	Unknown
Kibi_no_Makibi	Data/Person/Japan/NaraPeriod/Kibi_no_Makibi.tsv	view_person	???	0	1000	0	9948341	Unknown
Abe_no_Hirafu	Data/Person/Japan/NaraPeriod/Abe_no_Hirafu.tsv	view_person	???	0	1000	0	9948341	Unknown
Otomo_no_Tabito	Data/Person/Japan/NaraPeriod/Otomo_no_Tabito.tsv	view_person	???	0	1000	0	9948341	Unknown
Kim_In-mun	Data/Person/Japan/NaraPeriod/Kim_In-mun.tsv	view_person	???	0	1000	0	9948341	Unknown
Isabu	Data/Person/Japan/NaraPeriod/Isabu.tsv	view_person	???	0	1000	0	9948341	Unknown
Abe_no_Tsugumaro	Data/Person/Japan/NaraPeriod/Abe_no_Tsugumaro.tsv	view_person	???	0	1000	0	9948341	Unknown
Otomo_no_Kunimaro	Data/Person/Japan/NaraPeriod/Otomo_no_Kunimaro.tsv	view_person	???	0	1000	0	9948341	Unknown
Michimori_no_Maro	Data/Person/Japan/NaraPeriod/Michimori_no_Maro.tsv	view_person	???	0	1000	0	9948341	Unknown
Shimotsuke_no_Komaro	Data/Person/Japan/NaraPeriod/Shimotsuke_no_Komaro.tsv	view_person	???	0	1000	0	9948341	Unknown
Choe_Chi-won	Data/Person/Japan/NaraPeriod/Choe_Chi-won.tsv	view_person	???	0	1000	0	9948341	Unknown
DuHuan	Data/Person/Japan/NaraPeriod/Du Huan.tsv	view_person	杜環	0	1000	0	9948341	Unknown
WangWei	Data/Person/Japan/NaraPeriod/Wang Wei.tsv	view_person	王維	0	1000	0	9948341	Unknown
WuZetian	Data/Person/Japan/NaraPeriod/Wu Zetian.tsv	view_person	武則天	0	1000	0	9948341	Unknown
Charlemagne	Data/Person/Japan/NaraPeriod/Charlemagne.tsv	view_person	カール大帝	0	1000	0	9948341	Unknown
Alcuin	Data/Person/Japan/NaraPeriod/Alcuin.tsv	view_person	アルクィン	0	1000	0	9948341	Unknown
AnanbenDavid	Data/Person/Japan/NaraPeriod/Anan ben David.tsv	view_person	アナン・ベン・ダヴィド	0	1000	0	9948341	Unknown
Huang_Shaoqing	Data/Person/Japan/NaraPeriod/Huang_Shaoqing.tsv	view_person	黃少卿	0	1000	0	9948341	Unknown
Haribhadra	Data/Person/Japan/NaraPeriod/Haribhadra.tsv	view_person	ハリバドラ	0	1000	0	9948341	Unknown
Dugu_Qieluo	Data/Person/Japan/NaraPeriod/Dugu_Qieluo.tsv	view_person	獨孤伽羅	0	1000	0	9948341	Unknown
PerozIII	Data/Person/Japan/NaraPeriod/Peroz III.tsv	view_person	卑路斯	0	1000	0	9948341	Unknown
Valentinus	Data/Person/Europe/Byzantine/7th century/Valentinus.tsv	view_person	ヴァレンティヌス	0	1000	0	9948341	Unknown
Tiberius(sonofMaurice)	Data/Person/Europe/Byzantine/7th century/Tiberius (son of Maurice).tsv	view_person	テオドシウス	0	1000	0	9948341	Unknown
TheodoreofTarsus	Data/Person/Europe/Byzantine/7th century/Theodore of Tarsus.tsv	view_person	タルソスのテオドロス	0	1000	0	9948341	Unknown
SuhaybibnSinan	Data/Person/Europe/Byzantine/7th century/Suhayb ibn Sinan.tsv	view_person	スハイブ・イブン・シナーン・アル＝ルーミー	0	1000	0	9948341	Unknown
TheodoreRshtuni	Data/Person/Europe/Byzantine/7th century/Theodore Rshtuni.tsv	view_person	テオドロス・ルシュトゥニ	0	1000	0	9948341	Unknown
Nicetas(cousinofHeraclius)	Data/Person/Europe/Byzantine/7th century/Nicetas (cousin of Heraclius).tsv	view_person	ニケタス	0	1000	0	9948341	Unknown
Mauros	Data/Person/Europe/Byzantine/6th century/Mauros.tsv	view_person	マウロス	0	1000	0	9948341	Unknown
GregorythePatrician	Data/Person/Europe/Byzantine/7th century/Gregory the Patrician.tsv	view_person	グレゴリウス・ザ・パトリキウス	0	1000	0	9948341	Unknown
David(sonofHeraclius)	Data/Person/Europe/Byzantine/7th century/David (son of Heraclius).tsv	view_person	ダビデ	0	1000	0	9948341	Unknown
Heraclius	Data/Person/Europe/Byzantine/7th century/Heraclius.tsv	view_person	ヘラクレイオス	0	1000	0	9948341	Unknown
Khalidibnal-Walid	Data/Person/West Asia/Caliphate/7th century/Khalid ibn al-Walid.tsv	view_person	ハーリド・イブン・アル＝ワリード	0	1000	0	9948341	Khalid ibn al-Walid
AbdAllahibnal-Zubayr	Data/Person/West Asia/Caliphate/7th century/Abd Allah ibn al-Zubayr.tsv	view_person	アブド・アッラー・イブン・アル＝ズバイル	0	1000	0	9948341	Khalid ibn al-Walid
Abdal-RahmanibnAbiBakr	Data/Person/West Asia/Caliphate/7th century/Abd al-Rahman ibn Abi Bakr.tsv	view_person	アブド・アル＝ラフマーン・イブン・アビ・バクル	0	1000	0	9948341	Khalid ibn al-Walid
Adaloald	Data/Person/Europe/Lombard/7th century/Adaloald.tsv	view_person	???	0	1000	0	9948341	Unknown
Agilulf	Data/Person/Europe/Lombard/7th century/Agilulf.tsv	view_person	???	0	1000	0	9948341	Unknown
Grimoald	Data/Person/Europe/Lombard/7th century/Grimoald.tsv	view_person	???	0	1000	0	9948341	Unknown
Rodoald	Data/Person/Europe/Lombard/7th century/Rodoald.tsv	view_person	???	0	1000	0	9948341	Unknown
Rothari	Data/Person/Europe/Lombard/7th century/Rothari.tsv	view_person	???	0	1000	0	9948341	Unknown
Theodelinda	Data/Person/Europe/Lombard/7th century/Theodelinda.tsv	view_person	???	0	1000	0	9948341	Unknown
Ansprand	Data/Person/Europe/Lombard/7th century/Ansprand.tsv	view_person	???	0	1000	0	9948341	Unknown
GisulfIIofFriuli	Data/Person/Europe/Lombard/7th century/Gisulf II of Friuli.tsv	view_person	???	0	1000	0	9948341	Unknown
Gundeberga	Data/Person/Europe/Lombard/7th century/Gundeberga.tsv	view_person	???	0	1000	0	9948341	Unknown
SigebertIII	Data/Person/7th century/Sigebert III.tsv	view_person	???	0	1000	0	9948341	Unknown
AsparuhofBulgaria	Data/Person/7th century/Asparuh of Bulgaria.tsv	view_person	???	0	1000	0	9948341	Unknown
KhosrowII	Data/Person/7th century/Khosrow II.tsv	view_person	???	0	1000	0	9948341	Unknown
PopeAdrianI	Data/Person/Europe/8th century/Pope Adrian I.tsv	view_person	???	0	1000	0	9948341	Unknown
SaintBaudolino	Data/Person/Europe/8th century/Saint Baudolino.tsv	view_person	???	0	1000	0	9948341	Unknown
Dokyo	Data/Person/Japan/NaraPeriod/Dokyo.tsv	view_person	道鏡	0	1000	0	9948341	Unknown
Gaubald	Data/Person/Europe/8th century/Gaubald.tsv	view_person	???	0	1000	0	9948341	Unknown
KimDaeseong	Data/Person/East Asia/8th century/Kim Daeseong.tsv	view_person	???	0	1000	0	9948341	Unknown
PopePaulI	Data/Person/Europe/8th century/Pope Paul I.tsv	view_person	???	0	1000	0	9948341	Unknown
ShitouXiqian	Data/Person/East Asia/8th century/Shitou Xiqian.tsv	view_person	???	0	1000	0	9948341	Unknown
WangJin	Data/Person/East Asia/8th century/Wang Jin.tsv	view_person	???	0	1000	0	9948341	Unknown
WasilibnAta	Data/Person/West Asia/8th century/Wasil ibn Ata.tsv	view_person	???	0	1000	0	9948341	Unknown
EmpressKomyo	Data/Person/Japan/NaraPeriod/Empress Komyo.tsv	view_person	光明皇后	0	1000	0	9948341	Unknown
ItzamKanAhkII	Data/Person/Maya/8th century/Itzam Kan Ahk II.tsv	view_person	???	0	1000	0	9948341	Pakal
LiBai	Data/Person/East Asia/8th century/Li Bai.tsv	view_person	???	0	1000	0	9948341	Unknown
EmperorShomu	Data/Person/Japan/NaraPeriod/Emperor Shomu.tsv	view_person	聖武天皇	0	1000	0	9948341	Unknown
YazidIII	Data/Person/West Asia/8th century/Yazid III.tsv	view_person	???	0	1000	0	9948341	Unknown
Dao-xuan	Data/Person/East Asia/8th century/Dao-xuan.tsv	view_person	???	0	1000	0	9948341	Unknown
Jafaral-Sadiq	Data/Person/West Asia/8th century/Jafar al-Sadiq.tsv	view_person	???	0	1000	0	9948341	Unknown
OnakatominoKiyomaro	Data/Person/Japan/NaraPeriod/Onakatomi no Kiyomaro.tsv	view_person	大中臣清麻呂	0	1000	0	9948341	Unknown
Kusaila	Data/Person/Kusaila.tsv	view_person	クサイラ	0	1000	0	9948341	Unknown
ShimaofKalingga	Data/Person/Japan/NaraPeriod/Shima of Kalingga.tsv	view_person	カリンガのシーマ	0	1000	0	9948341	Shima of Kalingga
