language_ja_jp	language_en_us	longitude	latitude	min_size	max_size
オサナイ	Osanai	141.9533333	39.84055556	1	4
チカナイ	Chikanai	141.9111111	39.65472222	1	12
エカリナイ	Ekarinai	141.2652778	39.95555556	1	4
イボナイ	Ibonai	141.4658333	40.19361111	1	4
ホリナイ	Horinai	141.8480556	40.04194444	1	4
サヒナイ	Sahinai	141.2622222	39.50138889	1	4
トチナイ	Tochinai	141.0283333	39.35138889	1	4
オサバナイ	Osabanai	140.21	40.31805556	1	4
インナイ	Innai	140.39	39.0775	1	4
サンナイ	Sannai	140.6333333	39.23222222	1	4
ヒナイ	Hinai	140.5575	40.175	1	4
ヨナイ	Yonai	140.3963889	40.13361111	1	4
ウスクナイ	Usukunai	140.4752778	38.97694444	1	4
イナイ	Inai	140.1777778	39.86972222	1	4
ミソナイ	Misonai	140.6327778	40.19333333	1	4
インナイ	Innai	140.1411111	39.95388889	1	4
ヒノキナイ	Hinokinai	140.5766667	39.7525	1	4
サンナイ	Sannai	139.9786111	40.40777778	1	4
オコナイ	Okonai	140.145	39.94222222	1	4
タニナイ	Taninai	140.7988889	40.11111111	1	4
オカナイ	Okanai	140.2516667	39.15222222	1	4
ジンナイ	Jinnai	140.2680556	39.65305556	1	4
オカシナイ	Okashinai	140.4972222	39.94194444	1	4
テンナイ	Tennai	140.17	40.24333333	1	4
サンナイ	Sannai	140.3513889	39.76694444	1	4
タコナイ	Takonai	140.6658333	39.16972222	1	4
オオシゲナイ	Ōshigenai	140.6188889	40.32888889	1	4
シャカナイ	Shakanai	140.5691667	40.30888889	1	4
フカマナイ	Fukamanai	140.0788889	40.05527778	1	4
ウットウナイ	Uttōnai	140.5280556	39.92138889	1	4
ヒロクナイ	Hirokunai	140.7013889	39.60166667	1	4
ヤリミナイ	Yariminai	140.5258333	39.51416667	1	4
オボナイ	Obonai	140.6422222	39.04916667	1	4
サンナイ	Sannai	140.1880556	39.78222222	1	4
ヒラオトリ	Hiraotori	140.2183333	39.59944444	1	4
ニシモナイ	Nishimonai	140.405	39.19916667	1	4
ソウナイ	Sōnai	140.4105556	40.08	1	4
サルハナイ	Saruhanai	140.6608333	39.13	1	4
ホウナイ	Hōnai	140.2786111	39.33527778	1	4
ウラシナイ	Urashinai	140.5663889	39.835	1	4
ススナイ	Susunai	140.2480556	39.16388889	1	4
ノシナイ	Noshinai	140.2105556	39.40583333	1	4
ユクチナイ	Yukuchinai	140.3805556	40.00583333	1	4
ツチメナイ	Tsuchimenai	140.5613889	40.35083333	1	4
ウルインナイ	Uruinnai	140.5341667	39.09305556	1	4
ハミナイ	Haminai	140.5713889	39.48777778	1	4
アイナイ	Ainai	140.72	40.38444444	1	4
インナイ	Innai	140.4272222	39.05	1	4
カシナイ	Kashinai	140.7769444	40.06222222	1	4
アイナイ	Ainai	140.6488889	39.75416667	1	4
カスナイ	Kasunai	140.3763889	39.97027778	1	4
ケマナイ	Kemanai	140.7661111	40.27111111	1	4
シゲナイ	Shigenai	140.6230556	40.27944444	1	4
フルイナイ	Furuinai	140.1455556	39.85888889	1	4
モナイ	Monai	140.5158333	38.98222222	1	4
アザミナイ	Azaminai	140.1705556	39.98305556	1	4
ヨナイ	Yonai	140.4613889	39.14138889	1	4
オボナイ	Obonai	140.735	39.70138889	1	4
タマナイ/タンナイ	Tamanai/Tannai	140.7902778	40.1725	1	4
シバナイ	Shibanai	140.8094444	40.22027778	1	4
ホリナイ	Horinai	140.8405556	40.31666667	1	4
サイナイ	Sainai	140.6102778	39.53166667	1	4
ホンナイ	Honnai	139.9247222	39.98722222	1	4
ムシナイ	Mushinai	140.6113889	39.28083333	1	4
タドコナイ	Tadokonai	140.1138889	40.18722222	1	16
ヒナイ	Hinai	140.5911111	39.81666667	1	4
ホイナイ	Hoinai	140.5777778	39.80222222	1	4
オサナイ	Osanai	140.7741667	40.13416667	1	4
ヤクナイ	Yakunai	140.4508333	39.25166667	1	4
トトリナイ	Totorinai	140.5113889	39.88972222	1	4
イタミナイ	Itaminai	140.5527778	39.48222222	1	4
ホリミナイ	Horiminai	140.5211111	39.47666667	1	4
シカナイ	Shikanai	140.39	39.16	1	4
ソウナイ	Sōnai	141.1691667	38.57944444	1	4
シナイ	Shinai	140.9383333	38.5	1	4
ウナイ	Unai	141.1141667	38.33916667	1	4
シナイ	Shinai	141.0808333	38.46222222	1	4
イナイ	Inai	141.3027778	38.43444444	1	4
ウナイ	Unai	141.1302778	38.84555556	1	4
オサツ	Osatsu	141.1530556	38.58388889	1	4
コンナイ	Konnai	140.9305556	38.51638889	1	4
ホロナイ	Horonai	140.7083333	38.86972222	1	4
リンナイ	Rinnai	141.0963889	38.61861111	1	4
トウナイ	Tōnai	140.3175	38.35972222	1	4
ザツコナイ	Zatsukonai	140.3155556	37.45944444	1	4
ヤナイサク	Yanaisaku	140.535	37.31194444	1	4
イセホナイ	Isehonai	140.4605556	37.80638889	1	4
キナイ	Kinai	141.0113889	37.49416667	1	4
ゴショウナイ	Goshōnai	140.4747222	37.73111111	1	4
山土内	Yamadōchi	140.8761111	37.08277778	1	4
ウツチナイ	Utsuchinai	140.5369444	37.24638889	1	4
ヘイナイ	Heinai	140.2947222	37.40944444	1	4
イツチナイ	Itsuchinai	140.5611111	37.58333333	1	4
ウナイ/ウツナイ	Unai/Utsunai	139.8088889	37.59944444	1	4
ハンナイ	Hannai	140.3511111	37.71277778	1	4
