Ref.ID	Museum ID	Y haplogroup	Mt haplogroup	Y Haplogroup	Отнесение	BC cal range (95%)	Site	Arch. Period	Context	Sex	Age	Lat	Long
DA343	UID_1989.019	Q-L330>YP1102	D4j4	Q-L330>YP1102	Прибайкалье, бронза		Ust'-Ida	EBA	Grave 19	Male	30-35	53.188889	103.368056
DA356	UID_1994.048	Q-L330>YP1102	C4a1a3	Q-L330>YP1102	Прибайкалье, бронза		Ust'-Ida	EBA	Grave 48	Male	>50	53.188889	103.368056
DA337	SHA_2000.009	Q-L53	C4a1a3	Q-L53	Прибайкалье, бронза		Shamanka II	EBA	Grave 9	Male?	17-18	51.698333	103.703056
RISE672	7053-61	Q-L56	H6a1b	Q-L56	Окуневская культура		Verkhni Askiz	EBA	kurgan 2, grave 8, sk.3	nd	nd	53.156486	90.207811
RISE674	7053-85	Q-L940>Y2679	A+152+16362	Q-L940>Y2679	Окуневская культура	2281-1976	Verkhni Askiz	EBA	kurgan 2, grave 21, sk.1	Male	Adult	53.156486	90.207811
RISE683	7053-191	Q-L712	H15b1	Q-L712	Окуневская культура	2138-1915	Uybat V	EBA	kurgan 4, grave 4, skull A	Female	Adult	53.708561	90.359808
RISE670	7053-49	Q-L940>L527	A8a	Q-L940>L527	Окуневская культура	2141-1885	Verkhni Askiz	EBA	kurgan 2, grave 4, scull 7	nd	child	53.156486	90.207811
RISE673	7053-62	Q-MEH2	A8a	Q-MEH2	Окуневская культура		Verkhni Askiz	EBA	kurgan 2, grave 9	Male	Mature	53.156486	90.207811
DA334	SHA_2008.107	Q-YP4004	C4a2a1	Q-YP4004	Прибайкалье, бронза		Shamanka II	EBA	Grave 107	Male	20-23	51.698333	103.703056
DA338	SHA_1998.002	Q-YP4004	C4a2a1	Q-YP4004	Прибайкалье, бронза		Shamanka II	EBA	Grave 2	Male	>50	51.698333	103.703056
DA353	UID_1989.029	Q-YP4004	H2a2a	Q-YP4004	Прибайкалье, бронза		Ust'-Ida	EBA	Grave 29	Male	>50	53.188889	103.368056
DA355	UID_1988.014	Q-YP4004	A2	Q-YP4004	Прибайкалье, неолит		Ust'-Ida	LN	Grave 14	Male	18-20	53.188889	103.368056
DA335	SHA_2000.005	Q-YP4004>BZ2199	F1b1b	Q-YP4004>BZ2199	Прибайкалье, бронза		Shamanka II	EBA	Grave 5	Male	>50	51.698333	103.703056
DA336	SHA_1998.003	Q-YP4004>BZ2199	C4a2a1	Q-YP4004>BZ2199	Прибайкалье, бронза		Shamanka II	EBA	Grave 3	Male	>50	51.698333	103.703056
DA354	KUR_2002.015	Q-YP4004>BZ2199	D4	Q-YP4004>BZ2199	Прибайкалье, бронза		Kurma XI	EBA	Grave 15	Male	14-19	53.179167	106.962778
DA361	UID_1993.045	Q-YP4004>BZ2199	C4a1a3	Q-YP4004>BZ2199	Прибайкалье, бронза		Ust'-Ida	EBA	Grave 45	Male	22-30	53.188889	103.368056
DA382	1601987	R1a-Z93>FGC82884>KMS149>KMS133>	T2c1a	R1a-Z93>FGC82884>KMS149>KMS133>		911-799	Takhirbai 3	nd	Excavation 1, burial 2	Male	40-50	38.718548	61.692287
BOT14		R1b-M73	K1b2	R1b-M73	Ботайская культура	3371-3354	Botai	EN	Botai Excavation 14, 1983	Male	nd	53.305983	67.648166
RISE675	7053-169	R1b-Z2103	D4+195	R1b-Z2103	Окуневская культура	2859-2350	Uybat V	EBA	kurgan 1, grave 1, sk.1	Male	Mature	53.708561	90.359808
RISE786		R1b-Z2109	R1a1a	R1b-Z2109	Ямная культура	3018-2887	Karagash	EBA	Kurgan 1, 2	Male	nd	49.134217	75.851817
