Sample ID	Skeletal code	Y chromosome haplogroup	mtDNA haplogroup	Coverage	Date	Culture / Split Label	Broad chronological / archaeological period	Location	Latitude, Longitude
I4794	KZ-TAL-001, Taldysay 1, Grave N5, Central Kazakhstan Archaeology (project) 7.02 (?)	J2a-L25>F3133	C4a'b'c	0.483	1600-1400 BCE	Taldysay_MLBA2	Middle / Late Bronze Age	Aktobe, Koboda, Taldysay	48.2144, 67.0205
I1808	Grave 52, single burial , PARWAK30	J	J1b1	0.077326	720-895 calCE (1200±30 BP, Beta-428663)	Parwak_Medieval	Antiquity and Medieval	Swat Valley, Parwak	36.280247, 72.414702
I6549	Grave 51, T.50b (to be corrected as T.51b)	J1-F1614	M30	0.918819	167-46 calBCE (2080±20 BP, PSUAMS-2788)	Butkara_H	Antiquity and Medieval	Swat Valley, Butkara IV	34.7614056, 72.3700806
I6550	Grave 51, T.50a (corrected to T.51a)	J1-F1614>Y6304	U2a	1.596593	41 calBCE - 57 calCE (1990±20 BP, PSUAMS-2789)	Butkara_H	Antiquity and Medieval	Swat Valley, Butkara IV	34.7614056, 72.3700806
I7715	BKG308, Feature 139, DA-BIR0317-030	J1-F1614>Y6304	M49	4.449081	1276-1390 calCE (670±25 BP, PSUAMS-4427)	Barikot_Medieval	Antiquity and Medieval	Swat Valley, Barikot	34.7570056, 72.3623806
I7716	Grave 370, single burial , DA-RAJ0317-011	J2a-L25>F3133>Z7706>Y13534>FGC9942>Y14696>Y14699>Y14698	H13a2a	4.289278	1169-1250 calCE (835±15 BP, PSUAMS-4428)	Udegram_Medieval_Ghaznavid	Antiquity and Medieval	Swat Valley, Udegram, Raja Gira	34.7487639, 72.3083583
I12453	Grave 101, Individual 1 (C) in a triple burial , 590	J2a-L26	..	0.009431	1000-800 BCE	Katelai_IA_LowCov	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I12465	Grave 186, single burial , 603	J2b-M102	U7b	0.196641	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I12463	Grave 30, single burial , 600	J2a-PF5197>PF5172>Z7314>PF5169>PF5174>Z7308>Z7366>CTS667	N1a1b1	0.316596	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I5396	Grave 36, single burial	J2a-PF5197>PF5172>Z7314>PF5169>PF5174>pre-Z7308	U4d	1.127	904-817 calBCE (2715±20 BP, PSUAMS-2790)	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I12451	Grave 14, single burial , 588	J2a-L25	HV13b	0.742267	1000-800 BCE	Butkara_IA	Late Bronze / Iron Age	Swat Valley, Butkara II	34.75938611, 72.37083333
I12982	Grave 178, Individual 1 (B) in a double burial , 711	J2b-M241>Z2432>Z2437>Y950>Y2155	H14	2.26158	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I2923	TH16-51, 33-16-51 (CH95 X 1)	L-L595	W3b	12785	2878-2636 calBCE (4160±25 BP, PSUAMS-1915)	Tepe_Hissar_C	Chalcolithic / Eneolithic	Tepe Hissar	36.1544444, 54.3836111
I11462	406, IRV Grave 309, Period I, phases 8 or 9	L-L1307	M33a2a	1.879541	2911-2880 calBCE (4270±20 BP, PSUAMS-4778)	Shahr_I_Sokhta_BA1	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I5604	UZ-BST-011, Site 4, Grave 26, 57-030	L-L1307	K1a1	1.582	1880-1697 calBCE (3465±20 BP, PSUAMS-2774)	Bustan_BA	Bronze Age	Bustan	37.6666667, 67
I4285	UZ-ST-003, Sappali Tepe (ST) 1971, 38, Grave 00-95	L-L1307	U7a3a	0.341	1873-1661 calBCE (3430±25 BP, PSUAMS-2536)	Sappali_Tepe_BA	Bronze Age	Sappali Tepe	37.4166667, 66.8333333
I8220	Grave 3, Individual 1, ALIG_3_2	L-L1307>M2398>Y12415>Z20267>Z5920>Y12419* (xY31218, Y17950)	..	2.869509	756-430 calBCE (2460±20 BP, PSUAMS-6196)	Aligrama_H	Antiquity and Medieval	Swat Valley, Aligrama	34.8048944, 72.3181694
I7721	Grave 1, single burial , DA-SIM0317-066	L-L1307>M2398>Y12415>Y29730* (xY100413)	R6b	4.134706	400-200 BCE	Saidu_Sharif_H	Antiquity and Medieval	Swat Valley, Saidu Sharif	34.7570056, 72.3623806
I12459	Grave 107, single burial , 596	L-L1307 (xM2398, Y44848, BY198125, Y6284)	M65a1	1.554009	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I10974	Grave 63 (?), LOEB_163	L-L1307	HV2a	1.229949	1006-904 calBCE (2800±20 BP, PSUAMS-4867)	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I10001	Grave 112, single burial	L-L1307	R30b1	3.366522	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I12988	Grave 131, Individual 2 in a double burial , 717	L-L1307	U2c1b	2.264351	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I13223	Grave 70, Individual 2 in a double secondary burial , T70B, 934	L-L1307	U2b	0.829487	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I12445	Grave 236, single burial , 582	L-L1307>BY198125	U7a	1.700993	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I12475	Grave 234, single burial , 613	L-L1307	H3ac	0.26061	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I6555	Grave 77, single burial	L-L1307>Y6288 (xY6284)	M4a	3.902956	906-820 calBCE (2720±20 BP, PSUAMS-2797)	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I6554	Grave 73, Individual 1 in a double burial	L-L1307	T2g1a	3.080538	831-796 calBCE (2645±20 BP, PSUAMS-2796)	Loebanr_IA_son.I6292.son.I10000	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I10000	Grave 108, Individual 1 in a double burial	L-L1307	U7a	1.681005	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I13222	Grave 182, single burial , 933	L-L1307	M5a	0.354191	1000-800 BCE	Loebanr_IA	Late Bronze / Iron Age	Swat Valley, Loebanr	34.7514611, 72.4019361
I10523	Grave 153, Individual 1 (B) in a double burial	L-L1307	U2c1	1.539975	1000-800 BCE	Katelai_IA	Late Bronze / Iron Age	Swat Valley, Katelai	34.7658417, 72.3491333
I11735	Kurgan 1, burial 2	N-Y6503>pre-P189.2	I1b	4.724919	2462-2299 calBCE (3885±20 BP, PSUAMS-4901)	Mereke_MBA	Early / Middle Bronze Age	Mereke	50.46, 49.2
I11737	Kurgan 1, burial 10	N-Y6503>pre-P189.2	U5a1b	4.010802	2195-2032 calBCE (3710±20 BP, PSUAMS-4902)	Mereke_MBA	Early / Middle Bronze Age	Mereke	50.46, 49.2
I2328	FH9, F10 B1 skull 7	CT	K1b1a	0.013842	6013-5898 calBCE (7075±30 BP, PSUAMS-2345)	Hajji_Firuz_C	Chalcolithic / Eneolithic	Hajji Firuz	36.9944, 45.4744
I8527	MOS324, Geoksyur 1, 1964, 172, вяпе (Vyape), IE-10-23	P1	..	0.028172	3500-2800 BCE	Geoksyur_EN	Chalcolithic / Eneolithic	Geoksyur	37.1907, 61.0343
I6670	StPet26, site II, grave K-178, individual 4	G	..	0.002216	2700-2300 BCE	Parkhai_EBA_LowCov	Chalcolithic / Eneolithic	Parkhai II	38.348048, 56.24543
I8526	MOS323, Geoksyur 1, 1964, 188, Tolos "Щ", IE-10-15	R2	J1d6	0.037494	3500-2800 BCE	Geoksyur_EN	Chalcolithic / Eneolithic	Geoksyur	37.1907, 61.0343
I2312	Belt4S	J2a-PF5050>PF5008	K2a	0.026067	12000-8000 BCE	Belt_Cave_M	Mesolithic / Neolithic	Alborz Mountains, near Behshahr, Belt Cave	35.59, 53.5
I1949	GD37	R2-Y3399	..	0.141247	8241-7962 calBCE (8915±40 BP, PSUAMS-2261)	Ganj_Dareh_N	Mesolithic / Neolithic	Ganj Dareh	34.45, 48.116
I1945	GD16	R2-Y3399	J1c10	0.242441	8000-7700 BCE	Ganj_Dareh_N	Mesolithic / Neolithic	Ganj Dareh	34.45, 48.116
I6118	Gonur 2003 tomb 3050 sample 6	A	J1b1a3	0.003357	2500-1600 BCE	Gonur1_BA_LowCov	Bronze Age	Gonur	38.1907, 62.0343
I6122	Gonur 2000 tomb 1646 sample 39	A	N1a2	0.007242	2500-1600 BCE	Gonur1_BA_LowCov	Bronze Age	Gonur	38.1907, 62.0343
I11461	405, IRV Grave 45	BT	L3f2b	0.002391	3200-2100 BCE	Shahr_I_Sokhta_BA1_LowCov	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I11460	404, IRQ Grave 31	J2	H2a	0.004608	3200-2100 BCE	Shahr_I_Sokhta_BA2_LowCov	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I7101	Gonut tomb 1466 sample 25	BT	U1a1c1	0.007985	2500-1700 BCE	Gonur1_BA_LowCov	Bronze Age	Gonur	38.1907, 62.0343
I6120	Gonur tomb 1307 sample 62	BT	R2	0.002592	2500-1600 BCE	Gonur1_BA_LowCov	Bronze Age	Gonur	38.1907, 62.0343
I11042	Gonur tomb 3220, skeleton 3, UfaNov17-005	CT	HV18	0.016221	2300-2250 BCE	Gonur1_BA	Bronze Age	Gonur	38.1907, 62.0343
I6312	Gonur tomb 1415 sample 46	CT	R2	0.006419	2500-1600 BCE	Gonur1_BA_LowCov	Bronze Age	Gonur	38.1907, 62.0343
I6119	Gonur 2005 tomb 3466 sample 2	Q-L56	J1	0.043698	2130-1948 calBCE (3650±20 BP, PSUAMS-2840)	Gonur1_BA	Bronze Age	Gonur	38.1907, 62.0343
I7170	Gonur 2006 Area 10 pit tomb 3300(2 = individual 2), N23m	CT	HV12b1	0.006362	2000-1800 BCE	Gonur1_BA_LowCov	Bronze Age	Gonur	38.1907, 62.0343
I4158	UZ-BST-006, Site 5, Grave 4, 57-28	CT	H2	0.008995	1600-1300 BCE	Bustan_BA_o_LowCov	Bronze Age	Bustan	37.66666667, 67
I11458	400, Grave 405	F	..	0.025536	3200-2100 BCE	Shahr_I_Sokhta_BA2	Bronze Age	Seistan, Shahr-i Sokhta	30.649857, 61.400311
I4156	UZ-BST-004, Site 7, Grave 33 (1), 44-91	G2a-Z6552	H2a2a	0.02	1600-1300 BCE	Bustan_BA	Bronze Age	Bustan	37.6666667, 67
I6117	Gonur tomb 3037 sample 4	Not dermined	T	0.007634	2500-1600 BCE	Gonur1_BA_1d.rel.I1781_LowCov	Bronze Age	Gonur	38.1907, 62.0343
I1789	Gonur 2013 Area 12 shaft tomb N4329	F	..	0.036272	2277-2030 calBCE (3735±35 BP, Poz-83486)	Gonur1_BA_o2	Bronze Age	Gonur	38.1907, 62.0343
I2087	Gonur tomb 1506 sample 32	R2	..	0.064651	2196-2034 calBCE (3715±20 BP, PSUAMS-2335)	Gonur1_BA	Bronze Age	Gonur	38.1907, 62.0343
I11041	Gonur tomb 3225, skeleton 3, UfaNov17-003	R2	R2	0.115931	2140-1972 calBCE (3675±25 BP, PSUAMS-4603)	Gonur2_BA	Bronze Age	Gonur	38.1907, 62.0343
I3453	14d, ctx 20, level 2, ZA-0238	A	..	0.007446	1264-1095 BCE (2940±30 BP, OS-97173, layer date)	Tasbas_LBA_LowCov	Late Bronze Age	Tasbas, Byan Zherek	45.13427, 79.36794
I3456	TB ctx 129. Bag ZA-0255	CT	H2a2	0.020526	1117-976 calBCE (2870±20 BP, PSUAMS-2538)	Tasbas_LBA	Late Bronze Age	Tasbas, Byan Zherek	45.13427, 79.36794
I4319	KZ-KAR-010, Kairan I, Enclosure 10	BT	..	0.006	1746-1630 calBCE (3395±25 BP, PSUAMS-2543)	Kairan_MLBA_o_LowCov	Middle / Late Bronze Age	Kairan	48.74175, 76.99573333
I5762	KZ-KAR-014, Kairan I, Enclosure 6, Grave 1	BT	..	0.005266	1600-1500 BCE	Kairan_MLBA_LowCov	Middle / Late Bronze Age	Kairan	48.74175, 76.99573333
I3389	StPet56, collection 3390, individual 4	R1a-Z93>Z2124	H27+16093	45081	1900-1400 BCE	Krasnoyarsk_MLBA	Middle / Late Bronze Age	Krasnoyarsk Krai, near Orak Ulus, Orak burial place	55.1924, 89.3053
I1010	964, kurgan 2, burial 4, skeleton 3	P1	T1a1	0.062091	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA_brother.I1086	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I1003	945, kurgan 4, burial 9, skeleton 1	R	U4b1a1a1	0.054175	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I4567	KZ-KAN-006 , Kairan I, Enclosure 1, Grave 1	R	U4a1	0.183085	1743-1631 calBCE (3390±20 BP, PSUAMS-2545)	Kairan_MLBA	Middle / Late Bronze Age	Kairan	48.74175, 76.99573333
I1853	SS8993-10, Potroshilovo II, enclosure 7	R	H2b	0.107	1611-1503 calBCE (3270±20 BP, PSUAMS-2437)	Krasnoyarsk_MLBA	Middle / Late Bronze Age	Minusinsk Basin, Potroshilovo II	53.87313333, 91.46046667
I0246	SVP41, Utyevka VI, kurgan 6, grave2	R1	C	0.166957	2469-1928 calBCE (3760±100 BP, AA-12568)	Potapovka_o	Middle / Late Bronze Age	Samara, Samara River, Utyevka VI	52.91277778, 50.99055556
I0942	1012, kurgan 2, burial 5, skeleton 1	R1	H2b	0.135251	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I0986	995, kurgan 2, burial 6, skeleton 1	R1	H1	0.11707	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
I0989	1018, kurgan 2, burial 5, skeleton 5a	R1	H1	0.211599	2050-1650 BCE [based on directly dated samples from the same site]	Sintashta_MLBA	Middle / Late Bronze Age	Kamennyi Ambar 5 Cemetery	52.81666667, 60.46666667
