ID	国名2文字	国名	地方	都道府県	緯度	経度	遺跡	Site Name	標本番号	性別	年齢	使用部位	時代(数値のみ)	時代	14C年代	較正14C年代(1σ)	較正14C年代(2σ)	年代	年代補足	mtDNA	Y	Y新	文献1	文献2	文献3
672	CN	中華人民共和国	華北地区	内モンゴル自治区	49.177071	117.763796	扎赉诺尔/五七/蘑菇山		MGS-M7R				-5400	新石器早期 鲜卑文化（东汉）				-	約7400、1900年前	C4a1a4a	C2a1a1a2a2		[75]		
673	CN	中華人民共和国	華北地区	内モンゴル自治区	49.177071	117.763796	扎赉诺尔/五七/蘑菇山		ZLNR-1				107	新石器早期 鲜卑文化（东汉）				1876-1810cal.BP	約7400、1900年前	N9a9	C2a1a1a2a		[75]		
674	CN	中華人民共和国	華北地区	内モンゴル自治区	40.7575	113.354	庙子沟		MZGM10-1				-3500	庙子沟文化/仰韶文化海生不浪类型（新石器中期）				-	約5500年前	A14	C2b1b-Z12264		[75]		
675	CN	中華人民共和国	華北地区	内モンゴル自治区	40.7575	113.354	庙子沟		MZGM16				-3500	庙子沟文化/仰韶文化海生不浪类型（新石器中期）				-	約5500年前	C4a2a1	C2b1b1'-Z12272		[75]		
676	CN	中華人民共和国	華北地区	内モンゴル自治区	40.7575	113.354	庙子沟		MZGM25-2				-3500	庙子沟文化/仰韶文化海生不浪类型（新石器中期）				-	約5500年前	D4b2	n/a		[75]		
733	CN	中華人民共和国	華北地区	内モンゴル自治区	42.01	114.21																	[100]		
626	CN	中華人民共和国	東北地区	遼寧省	41.4146691	120.2743518	半拉山		BLSM14				-3300	红山文化（新石器中期）				-	約5300年前	D5a3a1	n/a		[75]		
627	CN	中華人民共和国	東北地区	遼寧省	41.4146691	120.2743518	半拉山		BLSM27S				-3300	红山文化（新石器中期）				-	約5300年前	D5a3a1	n/a		[75]		
628	CN	中華人民共和国	東北地区	遼寧省	41.4146691	120.2743518	半拉山		BLSM41				-3300	红山文化（新石器中期）				-	約5300年前	-	O2a2b		[75]		
629	CN	中華人民共和国	東北地区	遼寧省	41.4146691	120.2743518	半拉山		BLSM45				-3218	红山文化（新石器中期）				5288-5048cal.BP	約5300年前	D5a3a1	n/a		[75]		
679	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M45				-9240	旧石器時代 新石器時代 汉书二期文化				11235-11145 calBP	約12000-2300年前	D4h1+12396C	n/a		[81]		
680	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M54a				-5425	旧石器時代 新石器時代 汉书二期文化				7430-7320 calBP	約12000-2300年前	B4c1a2	pre-N1a1a3		[81]		
681	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M54b				-5490	旧石器時代 新石器時代 汉书二期文化				7470-7410 calBP	約12000-2300年前	-	n/a		[81]		
682	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M54c				-5435	旧石器時代 新石器時代 汉书二期文化				7420-7350 calBP	約12000-2300年前	-	-		[81]		
683	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M82				-3987.5	旧石器時代 新石器時代 汉书二期文化				5995-5880 calBP	約12000-2300年前	-	-		[81]		
684	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M89				-3955	旧石器時代 新石器時代 汉书二期文化				5940-5870 calBP	約12000-2300年前	A+152C	pre-N1a1a1B1(ISOGG:N1a1a2)		[81]		
685	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M95				-3860	旧石器時代 新石器時代 汉书二期文化				5900-5720 calBP	約12000-2300年前	-	n/a		[81]		
686	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M93				-3855	旧石器時代 新石器時代 汉书二期文化				5900-5710 calBP	約12000-2300年前	-	-		[81]		
687	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M50				-3825	旧石器時代 新石器時代 汉书二期文化				5900-5650 calBP	約12000-2300年前	-	-		[81]		
688	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M92				-3635	旧石器時代 新石器時代 汉书二期文化				5600-5570 calBP	約12000-2300年前	-	n/a		[81]		
689	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M86				-3560	旧石器時代 新石器時代 汉书二期文化				5550-5470 calBP	約12000-2300年前	-	N		[81]		
690	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M94				-3560	旧石器時代 新石器時代 汉书二期文化				5550-5470 calBP	約12000-2300年前	D4c1b	pre-C2a1a1a2a		[81]		
691	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M80				-3465	旧石器時代 新石器時代 汉书二期文化				5460-5370 calBP	約12000-2300年前	D4e5a	n/a		[81]		
692	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M91				-3575	旧石器時代 新石器時代 汉书二期文化				5590-5460 calBP	約12000-2300年前	Y1a	n/a		[81]		
693	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M73				-3465	旧石器時代 新石器時代 汉书二期文化				5460-5370 calBP	約12000-2300年前	-	-		[81]		
694	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M25B				-625	旧石器時代 新石器時代 汉书二期文化				2720-2430 calBP	約12000-2300年前	D4c2b	C2a1a1a2a1-F3830>F11787>F9721		[81]		
695	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M74A				-350	旧石器時代 新石器時代 汉书二期文化				~2300 BP	約12000-2300年前	C4a2a1	C2a1a1a2a1-F3830>F11787>F9721		[81]		
696	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M74B				-350	旧石器時代 新石器時代 汉书二期文化				~2300 BP	約12000-2300年前	G2a1	C2a1a1a2a1-F3830>F11787		[81]		
697	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M69A				-350	旧石器時代 新石器時代 汉书二期文化				~2300 BP	約12000-2300年前	B4c1a2	n/a		[81]		
698	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M69B				-350	旧石器時代 新石器時代 汉书二期文化				~2300 BP	約12000-2300年前	G2a1	n/a		[81]		
699	CN	中華人民共和国	東北地区	吉林省	45.648844	123.792733	后套木嘎		M69C				-350	旧石器時代 新石器時代 汉书二期文化				~2300 BP	約12000-2300年前	F1b1e	n/a		[81]		
618	CN	中華人民共和国	東北地区	黒竜江省	47.105432	123.600045	洪河村		HQHM2				-2000	昂昂溪文化（新石器晚期）				-	約4000年前	D4c1b	C2a		[80]		
619	CN	中華人民共和国	東北地区	黒竜江省	47.105432	123.600045	洪河村		HQHM3				-2000	昂昂溪文化（新石器晚期）				-	約4000年前	D4j	P~[质量较差无法细分]		[80]		
620	CN	中華人民共和国	東北地区	黒竜江省	47.105432	123.600045	洪河村		HQHM4				-2000	昂昂溪文化（新石器晚期）				-	約4000年前	D4b2a	Q1a1a(F1907-)		[80]		
621	CN	中華人民共和国	東北地区	黒竜江省	47.105432	123.600045	洪河村		HQHM5				-2000	昂昂溪文化（新石器晚期）				-	約4000年前	D4	n/a		[80]		
728	CN	中華人民共和国	東北地区	黒竜江省	48.34738796	124.7117236	大古堆 | 线粒体基因组						-250						2500-2000年前	D4m			[85]		
729	CN	中華人民共和国	東北地区	黒竜江省	48.34738796	124.7117236	大古堆 | 线粒体基因组						-250						2500-2000年前	M8*			[85]		
816	CN	中華人民共和国	東北地区	黒竜江省	45.4	127.03	黑龙江省一系列样本						-31000	旧石器時代~					約33000年前~				[94]		
738	CN	中華人民共和国	華東地区	福建省	25.464356	117.66291	奇和洞						-7950	新石器早期					約11500、8400年前				[88]		
739	CN	中華人民共和国	華東地区	福建省	26.3	120.2	亮岛		LD1				-6240	新石器早期				8320-8060 calBP	約8200、7600年前	E(pre-E1?)	O1a1b		[89]		
740	CN	中華人民共和国	華東地区	福建省	26.3	120.2	亮岛		LD2				-5625	新石器早期				7590-7560 calBP	約8200、7600年前	R9	n/a		[89]		
742	CN	中華人民共和国	華東地区	福建省	26.227155	119.077076	溪头村						-2500	昙石山文化（新石器晚期）					約4500年前				[87]		
743	CN	中華人民共和国	華東地区	福建省	26.146348	119.157822	昙石山						-2500	昙石山文化（新石器晚期）					約4500年前				[87]		
744	CN	中華人民共和国	華東地区	福建省	25.657211	117.315853	穿云洞						1700	清代					約300年前				[87]		
734	CN	中華人民共和国	華東地区	山東省	36.054656	118.481911	扁扁洞						-7500	新石器早期					約9500年前				[87]		
735	CN	中華人民共和国	華東地区	山東省	36.504127	117.837694	博山						-6200	后李文化（新石器早期）					約8200年前				[87]		
736	CN	中華人民共和国	華東地区	山東省	36.832971	117.540904	小荆山						-5800	后李文化（新石器早期）					約7800年前				[87]		
737	CN	中華人民共和国	華東地区	山東省	36.827288	117.954067	小高						-6700	后李文化（新石器早期）					約8700年前				[87]		
595	CN	中華人民共和国	中南地区	河南省	33.7086	114.9225	平粮台		PLTM310				-2160	造律台文化（龙山時代；新石器晚期）				2275-2045cal.BCE	約4000年前	D4b1a	n/a		[75]		
596	CN	中華人民共和国	中南地区	河南省	33.7086	114.9225	平粮台		PLTM311				-2022.5	造律台文化（龙山時代；新石器晚期）				2201-1844cal.BCE	約4000年前	D4b1a	N1b2*>MF20869		[75]		
597	CN	中華人民共和国	中南地区	河南省	33.7086	114.9225	平粮台		PLTM312				-2037	造律台文化（龙山時代；新石器晚期）				2135-1939cal.BCE	約4000年前	D4b1a	N1b2*>MF20869		[75]		
598	CN	中華人民共和国	中南地区	河南省	33.7086	114.9225	平粮台		PLTM313				-2006	造律台文化（龙山時代；新石器晚期）				2118-1894cal.BCE	約4000年前	F2h	n/a		[75]		
599	CN	中華人民共和国	中南地区	河南省	33.5922	114.0221	郝家台		HJTM107				-2034	王湾三期文化煤山类型（龙山時代；新石器晚期）; 东周文化				2118-1950cal.BCE		D4	C2b1b1-CTS10923		[75]		
600	CN	中華人民共和国	中南地区	河南省	33.5922	114.0221	郝家台		HJTM109				-1959.5	王湾三期文化煤山类型（龙山時代；新石器晚期）; 东周文化				2031-1888cal.BCE		D4e1a	O2a1a1b-F915		[75]		
601	CN	中華人民共和国	中南地区	河南省	33.5922	114.0221	郝家台		HJTM115				-286	王湾三期文化煤山类型（龙山時代；新石器晚期）; 东周文化				365-207cal.BCE		F4a2	n/a		[75]		
602	CN	中華人民共和国	中南地区	河南省	33.5922	114.0221	郝家台		HJTW13				-205	王湾三期文化煤山类型（龙山時代；新石器晚期）; 东周文化				353-57cal.BCE		-	O2a2a		[75]		
603	CN	中華人民共和国	中南地区	河南省	34.1784	113.372	瓦店		WD-WT1H16				-2086	王湾三期文化煤山类型（龙山時代；新石器晚期）				2139-2033cal.BCE	約4000年前	N9a2	O2a2b1a2a1c-F3386		[76]		
604	CN	中華人民共和国	中南地区	河南省	34.1784	113.372	瓦店		WD-WT5M2				-1950	王湾三期文化煤山类型（龙山時代；新石器晚期）				2050-1850cal.BCE	約4000年前	D5a2a	n/a		[76]		
636	CN	中華人民共和国	中南地区	河南省	35.1707822	113.1546898	聂村		JXNTM2				-1100	商文化（青铜时期）				-	約3100年前	A5b1b	O2a2b1a2a1a3b2b*-SK1768		[75]		
637	CN	中華人民共和国	中南地区	河南省	35.1707822	113.1546898	聂村		JXNTM23				-1177	商文化（青铜时期）				3181-3073cal.BP	約3100年前	C4a1a2	n/a		[75]		
638	CN	中華人民共和国	中南地区	河南省	33.8719844	113.9186659	固厢		LGM41				-200	战国晚期-西汉初期				-	約2200年前	M8a2b	O2a2b1a1a		[75]		
639	CN	中華人民共和国	中南地区	河南省	33.8719844	113.9186659	固厢		LGM79				-309	战国晚期-西汉初期				2338-2180cal.BP	約2200年前	B4d1'2'3	n/a		[75]		
647	CN	中華人民共和国	中南地区	河南省	34.8191841	113.3959228	汪沟		WGM35				-3230	仰韶文化中晚期大河村三期类型（新石器中期）				5304-5056cal.BP	約5300年前	F1d	n/a		[75]		
648	CN	中華人民共和国	中南地区	河南省	34.8191841	113.3959228	汪沟		WGM43				-3300	仰韶文化中晚期大河村三期类型（新石器中期）				-	約5300年前	-	O2a2b1a1a		[75]		
649	CN	中華人民共和国	中南地区	河南省	34.8191841	113.3959228	汪沟		WGM70				-3300	仰韶文化中晚期大河村三期类型（新石器中期）				-	約5300年前	M8a2	n/a		[75]		
650	CN	中華人民共和国	中南地区	河南省	34.8191841	113.3959228	汪沟		WGM76S				-3300	仰韶文化中晚期大河村三期类型（新石器中期）				-	約5300年前	C4a1a1	n/a		[75]		
651	CN	中華人民共和国	中南地区	河南省	34.8191841	113.3959228	汪沟		WGM94				-3300	仰韶文化中晚期大河村三期类型（新石器中期）				-	約5300年前	B4d1	O1b1a2c~		[75]		
652	CN	中華人民共和国	中南地区	河南省	34.564554	110.977875	晓坞		XW-M1R18				-4106	仰韶文化早期东庄类型（新石器中期）				6175-5937cal.BP	約6000年前	D4g2a1	Q1a1a1 >FGC14753		[75]		
746	CN	中華人民共和国	中南地区	広西チワン族自治区	24.638415	105.179068	老磨槽洞		Longlin				-9560	旧石器時代				11510BP	約11000年前	M71+C151T>M71d(new name)	-		[91]		
817	CN	中華人民共和国	中南地区	広西チワン族自治区	24.64	105.17	隆林						-8000	旧石器時代					約10000年前				[88]		
818	CN	中華人民共和国	中南地区	広西チワン族自治区	23.6	107.13	独山						-6800	新石器早期					約8800年前				[88]		
819	CN	中華人民共和国	中南地区	広西チワン族自治区	22.34	106.85	宝剑山						-5400	新石器早期					約7400年前				[88]		
820	CN	中華人民共和国	中南地区	広西チワン族自治区	23.4	107.4	巴板琴岑						600	南北朝-唐代					約1400年前				[88]		
821	CN	中華人民共和国	中南地区	広西チワン族自治区	24.08	107.62	腊岜						600	南北朝-唐代					約1400年前				[88]		
822	CN	中華人民共和国	中南地区	広西チワン族自治区	23.4	107.4	拉岑						700	唐代					約1300年前				[88]		
823	CN	中華人民共和国	中南地区	広西チワン族自治区	23.33	107.5	岜央洞						600	南北朝-唐代					約1400年前				[88]		
824	CN	中華人民共和国	中南地区	広西チワン族自治区	23.31	107.59	神仙洞						700	唐代					約1300年前				[88]		
825	CN	中華人民共和国	中南地区	広西チワン族自治区	25.1	107.66	高花化						1600	明清					約400年前				[88]		
871	CN	中華人民共和国	中南地区	広西チワン族自治区	23.948771	106.390808	百色华村						-500	春秋時代					約2500年前（未校正）	G3a1			[96]		
872	CN	中華人民共和国	中南地区	広西チワン族自治区	23.948771	106.390808	百色华村						-500	春秋時代					約2500年前（未校正）	G3a1			[96]		
798	CN	中華人民共和国	西南地区	四川省	31.653972	103.815047	营盘山						-3000	新石器晚期					約5000年前	D4			[92]		
799	CN	中華人民共和国	西南地区	四川省	31.653972	103.815047	营盘山						-3000	新石器晚期					約5000年前	D4c1a2			[92]		
747	CN	中華人民共和国	西南地区	貴州省	26.083912	106.836915	清水苑大洞		L5068				-9190	旧石器時代				11201-11079cal.BP	約11000年前	M71+C151T>M71d(new name)	-		[91]		
862	CN	中華人民共和国	西南地区	雲南省	28.03674	104.12232	豆沙关						1340	元代					約660年前（未校正）	B4c2c			[96]		
863	CN	中華人民共和国	西南地区	雲南省	28.03674	104.12232	豆沙关						1340	元代					約660年前（未校正）	B4c2c			[96]		
864	CN	中華人民共和国	西南地区	雲南省	28.03674	104.12232	豆沙关						1340	元代					約660年前（未校正）	B4a1c4			[96]		
865	CN	中華人民共和国	西南地区	雲南省	28.03674	104.12232	豆沙关						1340	元代					約660年前（未校正）	R9			[96]		
866	CN	中華人民共和国	西南地区	雲南省	27.839614	104.82002	威信长安						760	唐代					約1240年前（未校正）	B6a			[96]		
867	CN	中華人民共和国	西南地区	雲南省	27.839614	104.82002	威信长安						760	唐代					約1240年前（未校正）	C7a			[96]		
868	CN	中華人民共和国	西南地区	雲南省	27.839614	104.82002	威信长安						760	唐代					約1240年前（未校正）	G3a1			[96]		
869	CN	中華人民共和国	西南地区	雲南省	27.839614	104.82002	威信长安						760	唐代					約1240年前（未校正）	N9a3			[96]		
870	CN	中華人民共和国	西南地区	雲南省	28.047893	105.004821	威信龙马						930	唐代					約1070年前（未校正）	F3a1			[96]		
805	CN	中華人民共和国	西南地区	チベット自治区	31.157446	97.125713	小恩达						-700	春秋時代					約2700年前	G2a1			[92]		
806	CN	中華人民共和国	西南地区	チベット自治区	31.157446	97.125713	小恩达						-700	春秋時代					約2700年前	F1g			[92]		
807	CN	中華人民共和国	西南地区	チベット自治区	31.157446	97.125713	小恩达						-700	春秋時代					約2700年前	Z4a1a			[92]		
808	CN	中華人民共和国	西南地区	チベット自治区	31.066975	97.207192	热底垄						-800	西周					約2800年前	B4d1'2'3			[92]		
809	CN	中華人民共和国	西南地区	チベット自治区	32	90.9	布塔雄曲						-500	春秋時代					約2500年前	G2b2a			[92]		
810	CN	中華人民共和国	西南地区	チベット自治区	31.5	92.1	察秀塘						900	唐代					約1100年前	M9a1a1c1b1a			[92]		
811	CN	中華人民共和国	西南地区	チベット自治区	31.677765	79.815335	格林塘												約?年前	U5a1a1			[92]		
640	CN	中華人民共和国	西北地区	陝西省	38.557394	110.043837	神疙瘩梁		SM-SGDLM27				-2000	大口文化（新石器晚期）				-	約4000年前	G2a1	C2b1a2b		[75]		
641	CN	中華人民共和国	西北地区	陝西省	38.557394	110.043837	神疙瘩梁		SM-SGDLM6				-2114	大口文化（新石器晚期）				4143-3985cal.BP	約4000年前	D5a2a1b	O2a2b1a1a1a2a*-F2137		[75]		
642	CN	中華人民共和国	西北地区	陝西省	38.557394	110.043837	神疙瘩梁		SM-SGDLM7X				-2000	大口文化（新石器晚期）				-	約4000年前	D4g2a1	n/a		[75]		
643	CN	中華人民共和国	西北地区	陝西省	38.5664991	110.3101228	石峁		SM-3				-2000	大口文化（新石器晚期）				-	約4000年前	N>A15a?	-		[75]		
644	CN	中華人民共和国	西北地区	陝西省	38.5664991	110.3101228	石峁		SM-K4-4				-2000	大口文化（新石器晚期）				-	約4000年前	B4a4	-		[75]		
645	CN	中華人民共和国	西北地区	陝西省	38.5664991	110.3101228	石峁		SM-K4-1				-2000	大口文化（新石器晚期）				-	約4000年前	A+(T152C T16362C)	N1		[75]		
646	CN	中華人民共和国	西北地区	陝西省	38.5664991	110.3101228	石峁		SM-K4-14				-2000	大口文化（新石器晚期）					約4000年前	-	-		[75]		
730	CN	中華人民共和国	西北地区	陝西省	34.288515	108.709027	咸阳双照		M56-R1				762.5					唐代	唐代	G1a1	O2a1b1a1a1a		[86]		
731	CN	中華人民共和国	西北地区	陝西省	34.288515	108.709027	咸阳双照		M56-R2				762.5					唐代	唐代	D4a2e	n/a		[86]		
732	CN	中華人民共和国	西北地区	陝西省	34.288515	108.709027	咸阳双照		M56-R3				762.5					唐代	唐代	M9a	n/a		[86]		
909	CN	中華人民共和国	西北地区	陝西省	37.82060368	109.0505931	五庄果墚						-3050	仰韶文化海生不浪类型（新石器中期）					約5050年前				[99]		
768	CN	中華人民共和国	西北地区	甘粛省	36.909525	103.160783	何家台						-2800	马家窑文化（新石器晚期）					約4800年前	D4j			[92]		
769	CN	中華人民共和国	西北地区	甘粛省	36.909525	103.160783	何家台						-2800	马家窑文化（新石器晚期）					約4800年前	D4j			[92]		
770	CN	中華人民共和国	西北地区	甘粛省	36.343815	102.881604	下海石		C462				-1905	新石器晚期-青铜时期				3855cal.BP	約3900年前	G2a1f	-		[92]		
771	CN	中華人民共和国	西北地区	甘粛省	36.343815	102.881604	下海石		C467				-1900	新石器晚期-青铜时期				-	約3900年前	F2g	-		[92]		
773	CN	中華人民共和国	西北地区	甘粛省	40	97.7	火烧沟						-1400	四坝文化（青铜时期）					約3400年前	M10a1			[92]		
774	CN	中華人民共和国	西北地区	甘粛省	38.6	100.7	五坝		C119				-1967	新石器晚期-青铜时期				3917cal.BP	約3900年前	R	-		[92]		
775	CN	中華人民共和国	西北地区	甘粛省	38.6	100.7	五坝		C121				-1815	新石器晚期-青铜时期				3765cal.BP	約3900年前	B4c1c1	-		[92]		
782	CN	中華人民共和国	西北地区	甘粛省	35.499176	103.834317	齐家坪		C471				-1656	齐家文化（新石器晚期-青铜时期） 东汉-魏晋				3606cal.BP	約3500、1800年前	R+T16189C!	-		[92]		
783	CN	中華人民共和国	西北地区	甘粛省	35.499176	103.834317	齐家坪		C474				-1534	齐家文化（新石器晚期-青铜时期） 东汉-魏晋				3484cal.BP	約3500、1800年前	G2a+T152C!	-		[92]		
784	CN	中華人民共和国	西北地区	甘粛省	35.499176	103.834317	齐家坪		C473				159	齐家文化（新石器晚期-青铜时期） 东汉-魏晋				1791cal.BP	約3500、1800年前	F1a1b	-		[92]		
785	CN	中華人民共和国	西北地区	甘粛省	34.683384	103.85735	磨沟						-1500	齐家文化/寺洼文化（新石器晚期-青铜时期）						B4c1b2c			[92]		
786	CN	中華人民共和国	西北地区	甘粛省	34.683384	103.85735	磨沟						-1500	齐家文化/寺洼文化（新石器晚期-青铜时期）						B4d1			[92]		
787	CN	中華人民共和国	西北地区	甘粛省	34.683384	103.85735	磨沟						-1500	齐家文化/寺洼文化（新石器晚期-青铜时期）						D4j			[92]		
788	CN	中華人民共和国	西北地区	甘粛省	34.683384	103.85735	磨沟						-1500	齐家文化/寺洼文化（新石器晚期-青铜时期）						G1c			[92]		
789	CN	中華人民共和国	西北地区	甘粛省	34.683384	103.85735	磨沟						-1500	齐家文化/寺洼文化（新石器晚期-青铜时期）						D5a2a1b			[92]		
812	CN	中華人民共和国	西北地区	甘粛省	35.45	102.57	白石崖溶洞		Layer2									~17 ka	約10万-1.7万年前	Δ1b1b	-		[93]		
813	CN	中華人民共和国	西北地区	甘粛省	35.45	102.57	白石崖溶洞		Layer3									46-33 ka	約10万-1.7万年前	Δ1b1b	-		[93]		
814	CN	中華人民共和国	西北地区	甘粛省	35.45	102.57	白石崖溶洞		Layer4									66-47 ka	約10万-1.7万年前	Δ1b1b	-		[93]		
815	CN	中華人民共和国	西北地区	甘粛省	35.45	102.57	白石崖溶洞		Layer7									108-97 ka	約10万-1.7万年前	Δ1b2	-		[93]		
873	CN	中華人民共和国	西北地区	甘粛省	39.01748898	100.3639469	黑水国							汉代									[97]		
653	CN	中華人民共和国	西北地区	青海省	36.5310071	101.9623168	大槽子		DCZ-M10I				100	东汉-北魏				-	約1900年前	D4a3	-		[75]		
654	CN	中華人民共和国	西北地区	青海省	36.5310071	101.9623168	大槽子		DCZ-M17IV				100	东汉-北魏				-	約1900年前	D4b2b	-		[75]		
655	CN	中華人民共和国	西北地区	青海省	36.5310071	101.9623168	大槽子		DCZ-M19IQS				100	东汉-北魏				-	約1900年前	N9a1	n/a		[75]		
656	CN	中華人民共和国	西北地区	青海省	36.5310071	101.9623168	大槽子		DCZ-M21II				98	东汉-北魏				1882-1822cal.BP	約1900年前	G2b1b	O2a2b1a1a1a2a-F2137		[75]		
657	CN	中華人民共和国	西北地区	青海省	36.5310071	101.9623168	大槽子		DCZ-M22IV				100	东汉-北魏				-	約1900年前	F1g	n[Y]/a		[75]		
658	CN	中華人民共和国	西北地区	青海省	36.5310071	101.9623168	大槽子		DCZ-M6				100	东汉-北魏				-	約1900年前	Z3	n/a		[75]		
659	CN	中華人民共和国	西北地区	青海省	36.9196142	102.5318758	金蝉口		JCKM1-1				-1916	齐家文化（新石器晚期）				3898-3834cal.BP	約4000年前	G3a2	O2a2b1a1a7a		[75]		
660	CN	中華人民共和国	西北地区	青海省	35.861186	102.812201	喇家		LJM11				-2000	齐家文化（新石器晚期）				-	約4000年前	F1g	n/a		[75]		
