番号	年	月	日	巻	号	ページ	URL		著者	en	書籍	en	題名
[11]	2021	3	31	228		433-439	https://rekihaku.repo.nii.ac.jp/records/2685	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登/竹中, 正巳	Shinoda, Ken-ichi/Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Takenaka, Masami	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鹿児島県南種子町広田遺跡出土人骨のミトコンドリアDNA分析
[12]	2020	3	27	219		321-326	https://rekihaku.repo.nii.ac.jp/records/2546	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登/土肥, 直美	Shinoda, Ken-ichi/Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Doi, Naomi	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 沖縄県北谷町出土貝塚後期人骨のDNA分析 : 伊礼原D遺跡・平安山原A遺跡
[13]	2021	3	31	228		427-432	https://rekihaku.repo.nii.ac.jp/records/2684	1	竹中, 正巳/坂本, 稔/瀧上, 舞	Takenaka, Masami/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鹿児島県南種子町広田遺跡出土人骨の年代学的調査
[14]	2021	3	31	228		329-340	https://rekihaku.repo.nii.ac.jp/records/2673	1	神澤, 秀明/角田, 恒雄/安達, 登/篠田, 謙一/斎藤, 成也	Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Shinoda, Ken-ichi/Saitou, Naruya	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 島根県出雲市猪目洞窟遺跡出土人骨の核DNA分析
[15]	2021	3	31	228		321-327	https://rekihaku.repo.nii.ac.jp/records/2672	1	濵田, 竜彦/坂本, 稔/瀧上, 舞	Hamada, Tatsuhiko/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 島根県出雲市猪目洞窟遺跡出土人骨の年代学的調査
[16]	2021	3	31	228		277-285	https://rekihaku.repo.nii.ac.jp/records/2668	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登	Shinoda, Ken-ichi/Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 愛知県清須市朝日遺跡出土弥生人骨のミトコンドリアDNA分析
[17]	2021	3	31	228		267-275	https://rekihaku.repo.nii.ac.jp/records/2667	1	藤尾, 慎一郎/坂本, 稔/瀧上, 舞	Fujio, Shin’ichiro/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 愛知県清須市朝日遺跡出土弥生人骨の年代学的調査
[18]	2021	3	31	228		417-425	https://rekihaku.repo.nii.ac.jp/records/2683	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登/竹中, 正巳	Shinoda, Ken-ichi/Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Takenaka, Masami	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 南九州古墳時代人骨のミトコンドリアDNA分析 : 島内地下式横穴墓群・町田堀遺跡・立小野堀遺跡
[19]	2021	10	29	229		p3-14	https://rekihaku.repo.nii.ac.jp/records/2797	1	藤尾, 慎一郎/木下, 尚子/坂本, 稔/瀧上, 舞/篠田, 謙一	FUJIO, Shin’ichiro/KINOSHITA, Naoko/SAKAMOTO, Minoru/TAKIGAMI, Mai/SHINODA, Ken-ichi	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 考古学データによるヤポネシア人の歴史の解明 : 2019年度の調査(2)
[20]	2022			23		37-42		1	安達 登		東北歴史博物館研究紀要		宮城県北小松遺跡出土人骨のNGSによるミトコンドリアDNA分析．
[21]	2021	10	29	229		145-152	https://rekihaku.repo.nii.ac.jp/records/2803	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登/清家, 章	SHINODA, Ken-ichi/KANZAWA, Hideaki/KAKUDA, Tsuneo/ADACHI, Noboru/SEIKE, Akira	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 岡山県内古墳出土人骨のミトコンドリアDNA分析
[22]	2021	3	31	228		345-359	https://rekihaku.repo.nii.ac.jp/records/2675	1	清家, 章/坂本, 稔/瀧上, 舞	Seike, Akira/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 岡山県内古墳出土人骨の年代学的調査 : 飯盛山東1号墳・勝負砂古墳・狩谷古墳群・久米三成4号墳・赤羽根古墳群・中島1号墳
[23]	2021	3	31	228		287-293	https://rekihaku.repo.nii.ac.jp/records/2669	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登/清家, 章	Shinoda, Ken-ichi/Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Seike, Akira	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 大阪府堺市野々井二本木山古墳出土人骨のミトコンドリアDNA分析
[24]	2020	3	27	219		295-299	https://rekihaku.repo.nii.ac.jp/records/2543	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登/土肥, 直美	Shinoda, Ken-ichi/Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Doi, Naomi	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 沖縄県読谷村出土貝塚時代人骨のDNA分析
[25]	2020	3	27	219		277-294	https://rekihaku.repo.nii.ac.jp/records/2542	1	木下, 尚子/坂本, 稔/瀧上, 舞	Kinoshita, Naoko/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 沖縄県読谷村所在遺跡出土貝塚後期の貝殻集積と人骨等の年代学的調査 : 浜屋原貝塚B，大久保原遺跡，中川原遺跡，片江原遺跡，大当原貝塚A地点，木綿原遺跡
[26]	2021	3	31	228		449-457	https://rekihaku.repo.nii.ac.jp/records/2687	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登/竹中, 正巳	Shinoda, Ken-ichi/Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Takenaka, Masami	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鹿児島県徳之島所在遺跡出土人骨のミトコンドリアDNA分析 : 面縄第1貝塚・トマチン遺跡・下原洞穴遺跡
[27]	2021	3	31	228		441-448	https://rekihaku.repo.nii.ac.jp/records/2686	1	竹中, 正巳/坂本, 稔/瀧上, 舞	Takenaka, Masami/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鹿児島県徳之島所在遺跡出土人骨の年代学的調査 : 面縄第1貝塚・トマチン遺跡・下原洞穴遺跡
[28]	2021	10	29	229		175-181	https://rekihaku.repo.nii.ac.jp/records/2807	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登/竹中, 正巳	SHINODA, Ken-ichi/KANZAWA, Hideaki/KAKUDA, Tsuneo/ADACHI, Noboru/TAKENAKA, Masami	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鹿児島県西之表市小浜遺跡出土中世人骨のミトコンドリアDNA分析
[29]	2021	10	29	229		169-173	https://rekihaku.repo.nii.ac.jp/records/2806	1	竹中, 正巳/坂本, 稔/瀧上, 舞	TAKENAKA, Masami/SAKAMOTO, Minoru/TAKIGAMI, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鹿児島県西之表市小浜遺跡出土人骨の年代学的調査
[30]	2021	3	31	228		403-409	https://rekihaku.repo.nii.ac.jp/records/2681	1	篠田, 謙一/神澤, 秀明/安達, 登/角田, 恒雄/竹中, 正巳	Shinoda, Ken-ichi/Kanzawa, Hideaki/Adachi, Noboru/Kakuda, Tsuneo/Takenaka, Masami	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鹿児島県内出土縄文人骨のミトコンドリアDNA分析 : 出水貝塚・柊原貝塚
[31]	2020	3	27	219		221-229	https://rekihaku.repo.nii.ac.jp/records/2536	1	篠田, 謙一/神澤, 秀明/安達, 登/角田, 恒雄	Shinoda, Ken-ichi/Kanzawa, Hideaki/Adachi, Noboru/Kakuda, Tsuneo	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 香川県高松市高松茶臼山古墳出土古墳前期人骨のDNA分析
[32]	2020	3	27	219		119-137	https://rekihaku.repo.nii.ac.jp/records/2528	1	藤尾, 慎一郎/木下, 尚子/坂本, 稔/瀧上, 舞/篠田, 謙一	Fujio, Shin’ichiro/Kinoshita, Naoko/Sakamoto, Minoru/Takigami, Mai/Shinoda, Ken-ichi	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 考古学データによるヤポネシア人の歴史の解明 : 2018年度の調査
[33]	2020	3	27	219		211-219	https://rekihaku.repo.nii.ac.jp/records/2535	1	清家, 章/坂本, 稔/瀧上, 舞	Seike, Akira/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 香川県高松市高松茶臼山古墳出土古墳前期人骨の年代学的調査
[34]	2021	3	31	228		369-373	https://rekihaku.repo.nii.ac.jp/records/2677	1	神澤, 秀明/角田, 恒雄/安達, 登/篠田, 謙一	Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Shinoda, Ken-ichi	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 香川県高松市高松茶臼山古墳出土古墳前期人骨の核DNA分析
[35]	2021	3	31	228		465-471	https://rekihaku.repo.nii.ac.jp/records/2689	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登/清家, 章/李, 在煥/朴, 天秀	Shinoda, Ken-ichi/Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru/Seike, Akira/Lee, Jaefan/Park, Cheunsoo	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 韓国高霊池山洞44号墳出土人骨のミトコンドリアDNA分析
[36]	2020	3	27	219		199-210	https://rekihaku.repo.nii.ac.jp/records/2534	1	篠田, 謙一/神澤, 秀明/角田, 恒雄/安達, 登	Shinoda, Ken-ichi/Kanzawa, Hideaki/Kakuda, Tsuneo/Adachi, Noboru	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 福岡県那珂川市安徳台遺跡出土弥生中期人骨のDNA分析
[37]	2020	3	27	219		189-198	https://rekihaku.repo.nii.ac.jp/records/2533	1	藤尾, 慎一郎/坂本, 稔/瀧上, 舞	Fujio, Shin’ichiro/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 福岡県那珂川市安徳台遺跡出土弥生中期人骨の年代学的調査
[38]	2016			124	1	p1-17	https://doi.org/10.1537/asj.160417	1	佐伯 史子/安達 登/米田 穣/鈴木 敏彦/澤田 純明/角田 恒雄/増山 琴香/尾嵜 大真/大森 貴之/萩原 康雄/奈良 貴史		Anthropological Science (Japanese Series)		大船渡市野々前貝塚縄文時代人骨の形態人類学的および理化学的分析
[39]	2019			24			http://doi.org/10.24484/sitereports.72639	1	大田区教育委員会大田図書館文化財担当		大田区の埋蔵文化財		山王横穴墓群2発掘調査報告
[40]	2018	12	21	44		p1-8			Ken-ichi Shinoda/Tsuneo Kakuda/Naomi Doi		Bull. Natl. Mus. Nat. Sci., Ser.		Mitochondrial DNA analysis of the skeletal remains excavated from the old Tokijin tomb, located in the Nakijin village of Okinawa Island
[41]	2013			65			http://doi.org/10.24484/sitereports.19330	1	沖縄県立埋蔵文化財センター		沖縄県立埋蔵文化財センター調査報告書		白保竿根田原洞穴遺跡
[42]	2017			86			http://doi.org/10.24484/sitereports.19848	1	沖縄県立埋蔵文化財センター		沖縄県立埋蔵文化財センター調査報告書		白保竿根田原洞穴遺跡2 : 総括報告編
[43]	2014			60			http://doi.org/10.24484/sitereports.5390	1	財団法人富山県文化振興財団埋蔵文化財調査事務所		富山県文化振興財団埋蔵文化財発掘調査報告		小竹貝塚発掘調査報告10
[44]	2009			117	3	171-180	https://doi.org/10.1537/ase.081202	1	Takehiro Sato/Tetsuya Amano/Hiroko Ono/Hajime Ishida/Haruto Kodera/Hirofumi Matsumura/Minoru Yoneda/Ryuichi Masuda		Anthropological Science		Mitochondrial DNA haplogrouping of the Okhotsk people based on analysis of ancient DNA: an intermediate of gene flow from the continental Sakhalin people to the Ainu
[45]	2013			121	2	89-103	https://doi.org/10.1537/ase.121113	1	HIDEAKI KANZAWA-KIRIYAMA/AIKO SASO/GEN SUWA/NARUYA SAITOU		Anthropological Science		Ancient mitochondrial DNA sequences of Jomon teeth samples from Sanganji, Tohoku district, Japan
[46]	2011	9	27				https://doi.org/10.1002/ajpa.21561	1	Noboru Adachi/Ken-ichi Shinoda/Kazuo Umetsu/Takashi Kitano/Hirofumi Matsumura/Ryuzo Fujiyama/Junmei Sawada/Masashi Tanaka				Mitochondrial DNA analysis of Hokkaido Jomon skeletons: remnants of archaic maternal lineages at the southwestern edge of former Beringia
[47]	2019			127	2	83-108	https://doi.org/10.1537/ase.190415	1	HIDEAKI KANZAWA-KIRIYAMA/TIMOTHY A. JINAM/YOSUKE KAWAI/TAKEHIRO SATO/KAZUYOSHI HOSOMICHI/ATSUSHI TAJIMA/NOBORU ADACHI/HIROFUMI MATSUMURA/KIRILL KRYUKOV/NARUYA SAITOU/KEN-ICHI SHINODA		Anthropological Science		Late Jomon male and female genome sequences from the Funadomari site in Hokkaido, Japan
[48]	2021						https://doi.org/10.1126/sciadv.abh2419		NP Cooke, V Mattiangeli, LM Cassidy, K Okazaki…		SCIENCE ADVANCES		Ancient genomics reveals tripartite origins of Japanese populations
[49]	2013			121	2	137-143	https://doi.org/10.1537/ase.130313	1	NOBORU ADACHI/JUNMEI SAWADA/MINORU YONEDA/KOICHI KOBAYASHI/SHIGERU ITOH		Anthropological Science		Mitochondrial DNA analysis of the human skeleton of the initial Jomon phase excavated at the Yugura cave site, Nagano, Japan
[50]	2019			127	1	65-72	https://doi.org/10.1537/ase.190307	1	RYOHEI TAKAHASHI/RYOKO KOIBUCHI/FUMIKO SAEKI/YASUO HAGIHARA/MINORU YONEDA/NOBORU ADACHI/TAKASHI NARA		Anthropological Science		Mitochondrial DNA analysis of the human skeletons excavated from the Shomyoji shell midden site, Kanagawa, Japan
[51]	2012			38		51-61			Ken-ichi Shinoda/Tsuneo Kakuda/Naomi Doi		Bull. Natl. Mus. Nat. Sci., Ser.		Mitochondrial DNA polymorphisms in late Shell midden period skeletal remains excavated from two archaeological sites in Okinawa
[52]	2022			130	1	39-45	https://doi.org/10.1537/ase.220129	1	DAISUKE WAKU/TAKASHI GAKUHARI/KAE KOGANEBUCHI/MINORU YONEDA/OSAMU KONDO/TADAYUKI MASUYAMA/YASUHIRO YAMADA/HIROKI OOTA		Anthropological Science		Complete mitochondrial genome sequencing reveals double-buried Jomon individuals excavated from the Ikawazu shell-mound site were not in a mother–child relationship
[53]	2021								F Mizuno, J Gojobori, M Kumagai, H Baba…		Scientific reports		Population dynamics in the Japanese Archipelago since the Pleistocene revealed by the complete mitochondrial genome sequences
[54]	2020						https://doi.org/10.1080/03014460.2020.1797164		F Mizuno, Y Taniguchi, O Kondo, M Hayashi, K Kurosaki, S Ueda		Annals of Human Biology		A study of 8,300-year-old Jomon human remains in Japan using complete mitogenome sequences obtained by next-generation sequencing
[55]	2022						https://doi.org/10.1080/03014460.2023.2224060		Fuzuki Mizuno/Yasuhiro Taniguchi/Osamu Kondo/Michiko Hayashi/Kunihiko Kurosaki/Shintaroh Ueda				Diversity in matrilineages among the Jomon individuals of Japan
[56]	2021	3	31	228		395-401	https://rekihaku.repo.nii.ac.jp/records/2680	1	竹中, 正巳/坂本, 稔/瀧上, 舞	Takenaka, Masami/Sakamoto, Minoru/Takigami, Mai	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 鹿児島県内出土縄文人骨の年代学的調査 : 出水貝塚・柊原貝塚
[57]	2014	6	14				http://doi.org/10.24484/sitereports.22593	1	国際文化財株式会社他		千葉市教育委員会		大膳野南貝塚発掘調査報告書
[58]	2023	1							辻, 秀人		雄山閣		灰塚山古墳の研究 = RESEARCH ON THE HAIZUKAYAMA TUMULUS
[59]	2022	11		237					藤尾 慎一郎/篠田 謙一/坂本 稔/瀧上 舞		国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	考古学データとDNA分析からみた 弥生人の成立と展開
[60]	2022	11		237					神澤 秀明/安達 登		国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	韓国慶北永川完山洞古墳群出土三国時代人骨のミトコンドリアDNA分析
[61]	2022	11		237		101-117			神澤 秀明/角田 恒雄/安達 登/篠田 謙一/濱田 竜彦		国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	鳥取県内古墳群出土人骨のミトコンドリアDNA分析
[62]	2022	11		237		135-149			神澤 秀明/角田 恒雄/安達 登/篠田 謙一		国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	熊本大学医学部所蔵人骨のミトコンドリアDNA分析
[63]	2022	3	31	234		121-147	https://rekihaku.repo.nii.ac.jp/records/2862	1	山田, 康弘/瀧上, 舞/坂本, 稔/木下, 尚子/藤尾, 慎一郎	YAMADA, Yasuhiro/TAKIGAMI, Mai/SAKAMOTO, Minoru/KINOSHITA, Naoko/FUJIO, Shin’ichiro	国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 熊本大学医学部所蔵縄文時代の人骨の年代学的調査 : 浜ノ州貝塚・沖ノ原遺跡・カキワラ貝塚・境崎貝塚・尾田貝塚
[64]	2023	9	29	242		123-132	https://rekihaku.repo.nii.ac.jp/records/2000026	1	神澤, 秀明/亀田, 勇一/角田, 恒雄/安達, 登/篠田, 謙一		国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 熊本県宇城市大坪貝塚出土弥生後期人骨の核ゲノム分析
[65]	2020								辻 秀人				学長教育改革研究助成金／学長研究助成金成果報告集
[66]	2023	9	29	242		15-33	https://rekihaku.repo.nii.ac.jp/records/2000020	1	山田, 康弘/米田, 穣		国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[論文] 岩手県蝦島貝塚出土人骨の埋葬属性とmtDNA・年代測定の分析結果からみた縄文墓制の一様相
[67]	2023	9	29	242		103-110	https://rekihaku.repo.nii.ac.jp/records/2000024	1	神澤, 秀明/角田, 恒雄/安達, 登/篠田, 謙一/山田, 康弘		国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 岩手県一関市蝦島貝塚出土縄文晩期人骨のミトコンドリアDNA分析
[68]	2023	9	29	242		111-121	https://rekihaku.repo.nii.ac.jp/records/2000025	1	神澤, 秀明/角田, 恒雄/安達, 登/篠田, 謙一		国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 兵庫県内出土縄文・弥生・古墳人骨のミトコンドリアDNA分析
[69]	2023	9	29	242		83-101	https://rekihaku.repo.nii.ac.jp/records/2000023	1	清家, 章/坂本, 稔/瀧上, 舞		国立歴史民俗博物館研究報告	Bulletin of the National Museum of Japanese History	[調査研究活動報告] 兵庫県内縄文・古墳時代人骨の年代学的調査 : 日笠山貝塚・鳥坂2号墳・白鷺山箱式石棺1号棺・新宮東山2号墳・向山古墳群・梅田15号墳・坪井2号墓
[70]	2014			122	2	157-166	https://doi.org/10.1537/asj.140905	1	安達 登/梅津 和夫/米田 穣/鈴木 敏彦/奈良 貴史		Anthropological Science (Japanese Series)		青森県尻労安部洞窟出土の2本の遊離歯についての理化学的個人識別
[71]	2008								安達 登				縄文的遺伝子型を定義する : 東北縄文人のミトコンドリアDNA解析を通じた試み
[72]	2008	5	30	16		287-290			安達 登/篠田 謙一/梅津 和夫		DNA多型 = DNA polymorphism		縄文人に遺伝的地域差は存在するのか
[73]	2006	7	20	22		96-102	http://doi.org/10.24484/sitereports.121781-63303		安達 登/坂上 和弘/梅津 和夫		庄内考古学		山形県酒田市飛島の狄穴洞窟遺跡出土人骨についてのミトコンドリアDNA多型解析
[74]	2004						https://doi.org/10.1016/j.jas.2004.02.011		Noboru Adachi/Kazuo Umetsu/Wataru Takigawa/Kazuhiro Sakaue				Phylogenetic analysis of the human ancient mitochondrial DNA
[75]	2020						https://doi.org/10.1038/s41467-020-16557-2	0	Ning et al.,		Nature Communications		Ancient genomes from northern China suggest links between subsistence changes and human migration
[76]	2019						http://www.cnki.com.cn/Article/CJFDTotal-HXKG201904005.htm	0	崔银秋等,		《华夏考古》		
[77]	2019						https://www.jstor.org/stable/10.13110/humanbiology.91.1.04	0	Wu et al.,		Human Biology		Mitochondrial Genome of an 8,400-Year-Old Individual from Northern China Reveals a Novel Subclade under C5d
[78]	2019						https://doi.org/10.1016/j.cub.2019.06.044	0	Ning et al.,		Current Biology		Ancient Genomes Reveal Yamnaya-Related Ancestry and a Potential Source of Indo-European Speakers in Iron Age Tianshan
[79]	2019						https://doi.org/10.1111/tpj.14421	0	Wu et al.,		The Plant Journal		Phylogenetic and population structural inference from genomic ancestry maintained in present-day common wheat Chinese landraces
[80]	2020						https://doi.org/10.1017/ehs.2020.16	0	Cui et al.,		Evolutionary Human Sciences		Bioarchaeological perspective on the expansion of Transeurasian languages in Neolithic Amur River basin
[81]	2020						https://www.biorxiv.org/content/10.1101/2020.10.12.336628v1	0	Ning et al.,		预印本		The genomic formation of First American ancestors in East and Northeast Asia
[82]	2021						https://doi.org/10.1016/j.jgg.2021.07.018	0	Ma et al.,		Journal of Genetics and Genomics		Ancient Y-DNA with reconstructed phylogeny provides insights into the demographic history of paternal haplogroup N1a2-F1360
[83]	2021						https://doi.org/10.1038/s41586-021-04052-7	0	Zhang et al.,		Nature		The genomic origins of the Bronze Age Tarim Basin mummies
[84]	2021						https://doi.org/10.3389/fgene.2021.740167	0	Ning et al.,		Frontiers in Genetics		Ancient Mitochondrial Genomes Reveal Extensive Genetic Influence of the Steppe Pastoralists in Western Xinjiang
[85]	2020						http://www.anthropol.ac.cn/CN/10.16359/j.cnki.cn11-1963/q.2020.0058	0	李春香等,		《人类学学报》		线粒体全基因组揭示嫩江流域史前人群遗传结构的动态变化
[86]	2023						https://doi.org/10.1371/journal.pone.0288128	0	Zhao et al.,		Plos one		A multidisciplinary study on the social customs of the Tang Empire in the Medieval Ages
[87]	2020						https://doi.org/10.1126/science.aba0909	0	Yang et al.		Science		Ancient DNA indicates human population shifts and admixture in northern and southern China
[88]	2021						https://doi.org/10.1016/j.cell.2021.05.018	0	Wang et al.,		Cell		Human population history at the crossroads of East and Southeast Asia since 11,000 years ago
[89]	2014						https://doi.org/10.1016/j.ajhg.2014.02.003	0	Ko et al.		AJHG		Early Austronesians: Into and Out Of Taiwan
[90]	2013						https://www.pnas.org/content/110/6/2223	0	Fu et al.,		PNAS		DNA analysis of an early modern human from Tianyuan Cave, China
[91]	2020						https://www.nature.com/articles/s10038-020-0796-9	0	Bai et al.,		Journal of Human Genetics		Paleolithic genetic link between Southern China and Mainland Southeast Asia revealed by ancient mitochondrial genomes
[92]	2020						https://royalsocietypublishing.org/doi/10.1098/rspb.2019.2968	0	Ding et al.,		Proc. R. Soc. B		Ancient mitogenomes show plateau populations from last 5200 years partially contributed to present-day Tibetans
[93]	2020						https://10.1126/science.abb6320	0	Zhang et al.,		Science		
