ja-JP	latitude	longitude	en-US	first_julian_day	last_julian_day	min_size	max_size
二道井子	42.0996111	118.9483178	O2a1b1a2a	894041	1376745	0	1000
二道井子	42.0996111	118.9483178	N1b1	720478	1261036	0	1000
聂村	35.1707822	113.1546898	O2a2b1a2a1a3b2b*-SK1768	1114939	1524011	0	1000
固厢	33.8719844	113.9186659	O2a2b1a1a	1509401	1786986	0	1000
神疙瘩梁	38.557394	110.043837	C2b1a2b	720478	1261036	0	1000
神疙瘩梁	38.557394	110.043837	O2a2b1a1a1a2a*-F2137	670512	1227726	0	1000
石峁	38.5664991	110.3101228	N1	720478	1261036	0	1000
汪沟	34.8191841	113.3959228	O2a2b1a1a	150699	881184	0	1000
汪沟	34.8191841	113.3959228	O1b1a2c~	150699	881184	0	1000
晓坞	34.564554	110.977875	Q1a1a1 >FGC14753	-202563	645676	0	1000
大槽子	36.5310071	101.9623168	O2a2b1a1a1a2a-F2137	1640012	1874059	0	1000
金蝉口	36.9196142	102.5318758	O2a2b1a1a7a	757294	1285581	0	1000
喇家	35.861186	102.812201	O2a2b1a2a1	720478	1261036	0	1000
喇家	35.861186	102.812201	D1a1a1a1	720478	1261036	0	1000
喇家	35.861186	102.812201	O2a2b1a1a7a	700316	1247596	0	1000
喇家	35.861186	102.812201	O2a2b1a1a7a	720478	1261036	0	1000
扎赉诺尔/五七/蘑菇山	49.177071	117.763796	C2a1a1a2a-Y11607	-769712	267577	0	1000
扎赉诺尔/五七/蘑菇山	49.177071	117.763796	C2a1a1a2a-F3825>C2a1a1a2a2-Y10425?	-769712	267577	0	1000
扎赉诺尔/五七/蘑菇山	49.177071	117.763796	C2a1a1a2a2	-769712	267577	0	1000
扎赉诺尔/五七/蘑菇山	49.177071	117.763796	C2a1a1a2a	1643957	1876689	0	1000
庙子沟	40.7575	113.354	C2b1b-Z12264	63041	822745	0	1000
庙子沟	40.7575	113.354	C2b1b1'-Z12272	63041	822745	0	1000
后套木嘎	45.648844	123.792733	pre-N1a1a3	-780669	260272	0	1000
后套木嘎	45.648844	123.792733	pre-N1a1a1B1(ISOGG:N1a1a2)	-136381	689797	0	1000
后套木嘎	45.648844	123.792733	N	36744	805214	0	1000
后套木嘎	45.648844	123.792733	pre-C2a1a1a2a	36744	805214	0	1000
后套木嘎	45.648844	123.792733	C2a1a1a2a1-F3830>F11787>F9721	1323128	1662803	0	1000
后套木嘎	45.648844	123.792733	C2a1a1a2a1-F3830>F11787>F9721	1443658	1743157	0	1000
后套木嘎	45.648844	123.792733	C2a1a1a2a1-F3830>F11787	1443658	1743157	0	1000
黎城	36.503549	113.385067	N1a2B1A1B2A-F1998	1340440	1674345	0	1000
黎城	36.503549	113.385067	N1a2B1A1B~-F710	1340440	1674345	0	1000
北方	38.359	81.7148	R1*或R1b*	782934	1302674	0	1000
阿依托汗	47.97	86.27	pre-Q2a	358011	1019392	0	1000
尼勒克	43.76915199	82.05322273	R1b1a1b1b	335220	1004198	0	1000
咸阳双照	34.288515	108.709027	O2a1b1a1a1a	1931256	2068222	0	1000
亮岛	26.3	120.2	O1a1b	-1137876	22134	0	1000
hupo	36.4	102	G1c	720478	1261036	0	1000
安岛(Ando)	34.5256	127.7474	O2a2a1a1-FGC50590	-462908	472113	0	1000
安岛(Ando)	34.5256	127.7474	污染(O1a1a/R1a1a1)	-462908	472113	0	1000
长项(Janghang)	35.0526	128.8222	D1b1	-429160	494612	0	1000
烟台岛(Yeondaedo)	34.7383	128.4008	D1b	282187	968842	0	1000
烟台岛(Yeondaedo)	34.7383	128.4008	污染(C1a1/C2b)	282187	968842	0	1000
烟台岛(Yeondaedo)	34.7383	128.4008	污染(C/F)	282187	968842	0	1000
长墓(Nagabaka)	24.8908	125.2793	C1a1a1	2356764	2400593	0	1000
长墓(Nagabaka)	24.8908	125.2793	O1b2a1a	2359686	2403515	0	1000
长墓(Nagabaka)	24.8908	125.2793	O1b2a1a1b	2359321	2403150	0	1000
