ソート	地方＆都道府県番号	ID	国名2文字	国名	地方番号	地方	都道府県番号	都道府県			緯度	経度	遺跡	Site Name	標本番号	性別	年齢	可視化開始ユリウス日=IF(S2="","",ROUND((S2-R2/2)*365.2425+1721242,0))	可視化終了ユリウス日=IF(S2="","",ROUND((S2+R2/2)*365.2425+1721242,0))	ユリウス日=IF(S2="","",ROUND(S2*365.2425+1721242,0))	可視化する年代幅=IF(S2="","",-0.4*IF(S2>1400,1400,S2)+680)	時代(数値のみ)	時代	14C年代	較正14C年代(1σ)	較正14C年代(2σ)		年代	年代補足	ハプログループ結果	使用部位	APLP	PCR-Luminex	その他	その他手法				NGS	手法	(Quality)	NGS	手法	(Quality)	Schmutziによる汚染率推定 [min, max]		Y	Y新	文献1	文献2	文献3	文献4	文献5
JP10631	631	31	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S7 (30738)			1628562	1866426	1747494	651.25	71.875								D4a1a1*	下顎骨 右第 3 大臼歯								D4a1a1*	Kanzawa-Kiriyama et al.[2017]		D4a1a1	Haplogrep2.0 Weissensteiner et al.[2016]	1.0000			C1a1	C-M8	[1]	[2]			
JP10631	631	32	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S8 (31107)			1628562	1866426	1747494	651.25	71.875								M7b1a1a1	下顎骨 右第 1 大臼歯								M7b1a1a1	Kanzawa-Kiriyama et al.[2017]		M7b1a1a1	Haplogrep2.0 Weissensteiner et al.[2016]	0.9849			D		[1]	[2]			
JP10631	631	33	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S10 (31822)			1628562	1866426	1747494	651.25	71.875								N9a2a*	下顎骨 左第 1 大臼歯								N9a2a*	Kanzawa-Kiriyama et al.[2017]		N9a2a	Haplogrep2.0 Weissensteiner et al.[2016]	0.9664			不明		[1]	[2]			
JP10631	631	34	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S11 (31909)			1628562	1866426	1747494	651.25	71.875								G1a1a2	下顎骨 左第 1 大臼歯								G1a1a2	Kanzawa-Kiriyama et al.[2017]		G1a1a2	Haplogrep2.0 Weissensteiner et al.[2016]	0.9832					[1]	[2]			
JP10631	631	35	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S13 (32924-1)			1628562	1866426	1747494	651.25	71.875								N9a2d	下顎骨 左第 3 大臼歯								N9a2d	Kanzawa-Kiriyama et al.[2017]		N9a2d	Haplogrep2.0 Weissensteiner et al.[2016]	0.9749					[1]	[2]			
JP10631	631	36	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S14 (33685)			1628562	1866426	1747494	651.25	71.875								B4b1a1b	下顎骨 左第 3 大臼歯								B4b1a1b	Kanzawa-Kiriyama et al.[2017]		B4b1a1b	Haplogrep2.0 Weissensteiner et al.[2016]	0.8345					[1]	[2]			
JP10631	631	37	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 S15 (30614)			1628562	1866426	1747494	651.25	71.875								M7a1a1a	下顎骨 右第 2 大臼歯								M7a1a1a	Kanzawa-Kiriyama et al.[2017]		M7a1a1a	Haplogrep2.0 Weissensteiner et al.[2016]	0.9782					[1]	[2]			
JP10631	631	38	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		下顎 K12 (32569)			1628562	1866426	1747494	651.25	71.875								D5a1a1	下顎骨 右第 2 大臼歯								D5a1a1	Kanzawa-Kiriyama et al.[2017]		D5a1a1	Haplogrep2.0 Weissensteiner et al.[2016]	0.9767					[1]	[2]			
JP10631	631	39	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		漂着人骨1頭蓋No.34	男性		1628562	1866426	1747494	651.25	71.875								D4b2b1d	右側頭骨	D4b2							D4b2b1d	Kanzawa-Kiriyama et al.[2017]		D4b2b1d	Haplogrep2.0	1.0000	0.165 [0.135-0.195]		O1b2a1a1		[1]	[2]			
JP10631	631	40	JP	日本	6	中国地方	31	鳥取県			35.51375301	133.9934929	青谷上寺地遺跡		漂着人骨2 下顎 18997			1628562	1866426	1747494	651.25	71.875								N9b3	臼歯	N9b3							N9b3	Kanzawa-Kiriyama et al.[2017]		N9b3	Haplogrep2.0	0.9221	0.55 [0.030-0.080]				[1]	[2]			
JP10842	842	41	JP	日本	8	九州地方	42	長崎県			33.20574526	129.6760548	下本山岩陰		下本山 2号	女性	成人(30-50歳)	1590047	1840749	1715398	686.4	-16	(2850ybpとするデータ有) 弥生後期					—	較正年代(cal BP,1σ)*1 *1: 海部ら．2017	M7a1a4	右・上顎・第 3 大臼歯	M7a1							M7a1a4	Kanzawa-Kiriyama et al.[2017]		M7a1a4	Haplogrep2.0	0.8813					[4]	[5]	[6]		
JP10842	842	42	JP	日本	8	九州地方	42	長崎県			33.20574526	129.6760548	下本山岩陰		下本山 3号	男性	成人(50歳以上)	1590047	1840749	1715398	686.4	-16	(2850ybpとするデータ有) 弥生後期					2001-1931	較正年代(cal BP,1σ)*1 *1: 海部ら．2017	D4a1	左・上顎・第 1 大臼歯	D4a1							D4a1	Kanzawa-Kiriyama et al.[2017]		D4a1	Haplogrep2.0	0.9076			O		[4]	[5]	[6]		
JP10946	946	43	JP	日本	9	南西諸島	46	鹿児島			29.153034	129.211569	宝島大池遺跡		大池1号	女性	熟年	1054674	1483834	1269254	1175	-1237.5	縄文晩期最終末併行					炭素14年代3165±23-較正年代(cal)1σ(68.2%)1280-1195BC-2 σ(95.4%) 1370-1125BC		M7a1a*		M7a1							M7a1a*	Kanzawa-Kiriyama et al.[2017]		M7a1a	Haplogrep2.0	0.9409	0 [0-0.005] 汚染率推定では Transversionサイトのみを持ちいて解析。				[7]	[8]			
JP10841	841	44	JP	日本	8	九州地方	41	佐賀県			33.54216351	129.9131573	大友遺跡		大友5次8号	女性	熟年	1299022	1646733	1472877	952	-680	弥生時代早期					炭素14年代2630±45-較正年代 (cal)1 σ(68.2%)780-580 BC-2 σ(95.4%)800-520 BC-較正年代 (cal BP)1 σ(68.2%)2730-2530-2 σ(95.4%) 2750-2470		M7a1a6		Ｍ (D?, not D5, D6)							M7a1a6	Kanzawa-Kiriyama et al.[2017]		M7a1a	Haplogrep2.0	0.7866	0.00 [0.000-0.005]				[9]	[10]			
JP10946	946	45	JP	日本	9	南西諸島	46	鹿児島			30.42412178	130.9675103	広田遺跡		広田遺跡南区 2号墓			1684718	1903863	1794291	600	200	弥生時代終末期?(他文献)							B4f*		B4(not a,b,c)							B4f*	Kanzawa-Kiriyama et al.[2017]		B4f	Haplogrep2.0	0.7711	0.560 [0.530-0.590]				[11]				
JP10947	947	46	JP	日本	9	南西諸島	47	沖縄県			26.32392629	127.7588327	伊礼原D遺跡		伊礼原D遺跡No.3			1915259	2057557	1986408	389.6	726	貝塚時代後期					A.D.679-773	＊年代については調査報告書にある値を引用した。	M7a1	右側頭骨	M7a1																	[12]	[13]			
JP10947	947	47	JP	日本	9	南西諸島	47	沖縄県			26.32392629	127.7588327	伊礼原D遺跡		伊礼原D遺跡No.5			2125419	2197664	2161542	197.8	1205.5	貝塚時代後期					A.D.1161-1250	＊年代については調査報告書にある値を引用した。	(M)	右下顎第 2 大臼歯	(M)																	[12]	[13]			
JP10947	947	48	JP	日本	9	南西諸島	47	沖縄県			26.325555	127.756388	平安山原A遺跡		平安山原A遺跡No.3			1960622	2087799	2024211	348.2	829.5	貝塚時代後期					A.D.770-889	＊年代については調査報告書にある値を引用した。	M7a1	左側頭骨	M7a1																	[12]	[13]			
JP10947	947	49	JP	日本	9	南西諸島	47	沖縄県			26.325555	127.756388	平安山原A遺跡		平安山原A遺跡No.5			2027023	2132067	2079545	287.6	981	貝塚時代後期					A.D.944-1018	＊年代については調査報告書にある値を引用した。	M7a1	左側頭骨	M7a1																	[12]	[13]			
JP10947	947	50	JP	日本	9	南西諸島	47	沖縄県			26.325555	127.756388	平安山原A遺跡		平安山原A遺跡No.11			2128487	2199710	2164099	195	1212.5	貝塚時代後期					A.D.1167-1258	＊年代については調査報告書にある値を引用した。	M7b1a1a1	左下顎第 3 大臼歯	M7b1a1a1																	[12]	[13]			
JP10947	947	51	JP	日本	9	南西諸島	47	沖縄県			26.325555	127.756388	平安山原A遺跡		平安山原A遺跡No.12			1807001	1985385	1896193	488.4	479	貝塚時代後期					A.D.418-540	＊年代については調査報告書にある値を引用した。	(B4a)	左下顎第 3 大臼歯	(B4a)																	[12]	[13]			
JP10632	632	52	JP	日本	6	中国地方	32	島根県			35.44323951	132.7081765	猪目洞窟遺跡		13号人骨(猪目 13号)			1479817	1767263	1623540	787	-267.5						2310-2120(1σ), 2315-2120(2σ)年代分析番号(1) SNIIM-13/炭素14年代 2208±21-較正年代 (cal)1 σ(68.2%)360-175 BC-2 σ(95.4%) 365-170 BC	較正年代(cal BP)(Δ R=0) 1σ 2σ	M7a1a1a	左側頭骨	M7a1										M7a1a1a	Haplogrep2.0	0.9908					[14]	[15]			
JP10632	632	53	JP	日本	6	中国地方	32	島根県			35.44323951	132.7081765	猪目洞窟遺跡		木箱3人骨 1-1(猪目 3-1-1)			1758862	1953293	1856077	532.3333333	369.1666667						未分析		D4g1*	左下顎第 2 大臼歯	D4g										D4g1*	Haplogrep2.0	0.9651					[14]				
JP10632	632	54	JP	日本	6	中国地方	32	島根県			35.44323951	132.7081765	猪目洞窟遺跡		木箱3人骨 1-2(猪目 3-1-2)			1758862	1953293	1856077	532.3333333	369.1666667						未分析		N9a2a1	左下顎第 3 大臼歯	N9a										N9a2a1	Haplogrep2.0	0.9707					[14]				
JP10632	632	55	JP	日本	6	中国地方	32	島根県			35.44323951	132.7081765	猪目洞窟遺跡		木箱3人骨 2-1(猪目 3-2-1)	女性		1854556	2017088	1935822	445	587.5						1385-1340(1σ), 1400-1315(2σ)年代分析番号(1) SNIIM-3-2-1/炭素14年代 1593±18-較正年代 (cal)1 σ(68.2%)AD 565-610-2 σ(95.4%) AD 550-635		M7a1a1a	左側頭骨	M7a1										M7a1a1a	Haplogrep2.0	0.9908					[14]	[15]			
JP10632	632	56	JP	日本	6	中国地方	32	島根県			35.44323951	132.7081765	猪目洞窟遺跡		木箱3人骨 2-2(猪目 3-2-2)	男性		1942214	2075527	2008870	365	787.5						1230-1095(1σ), 1240-1070(2σ)年代分析番号(1) SNIIM-3-2-2/炭素14年代1306±19-較正年代 (cal)1 σ(68.2%) AD 720-855-2 σ(95.4%) AD 705-880		D4b1a1a	左側頭骨	D4b1										D4b1a1a	Haplogrep2.0	0.9898			O1b2a1a1		[14]	[15]			
JP10632	632	57	JP	日本	6	中国地方	32	島根県			35.44323951	132.7081765	猪目洞窟遺跡		木箱3人骨 3-1(猪目 3-3-1)			1758862	1953293	1856077	532.3333333	369.1666667						未分析			右側頭骨	A?											Haplogrep2.0	―					[14]				
JP10632	632	58	JP	日本	6	中国地方	32	島根県			35.44323951	132.7081765	猪目洞窟遺跡		木箱1人骨 1-1 (猪目 1-1-1)			1758862	1953293	1856077	532.3333333	369.1666667						未分析		M7a1a1a	左下顎第 1 大臼歯	M7a1										M7a1a1a	Haplogrep2.0	0.9908					[14]				
JP10423	423	59	JP	日本	4	中部地方	23	愛知県			35.21845286	136.8512911	朝日遺跡		IAS 95No.1	不明	14歳以上未成年	1305596	1651115	1478356	946	-665									右側頭骨	ND							不明	Kanzawa-Kiriyama et al.[2017]		不明	Haplogrep2.0						[16]				
JP10423	423	60	JP	日本	4	中部地方	23	愛知県			35.21845286	136.8512911	朝日遺跡		IAS 95No.2	男性	20-25歳	1305596	1651115	1478356	946	-665									右側頭骨	ND							M7a1a	Kanzawa-Kiriyama et al.[2017]		M7a1a	Haplogrep2.0	0.538					[16]				
JP10423	423	61	JP	日本	4	中部地方	23	愛知県			35.21845286	136.8512911	朝日遺跡		IAS 95No.3	男性	20歳台半ば	1305596	1651115	1478356	946	-665									左側頭骨	ND							不明	Kanzawa-Kiriyama et al.[2017]		不明	Haplogrep2.0						[16]				
JP10423	423	62	JP	日本	4	中部地方	23	愛知県			35.21845286	136.8512911	朝日遺跡		IAS 95No.5	不明	4歳前後	1305596	1651115	1478356	946	-665									右側頭骨	ND							不明	Kanzawa-Kiriyama et al.[2017]		H2a	Haplogrep2.0	0.629					[16]				
JP10423	423	63	JP	日本	4	中部地方	23	愛知県			35.21845286	136.8512911	朝日遺跡		IAS 95No.6	男性	30歳台半ば	1305596	1651115	1478356	946	-665									右側頭骨	ND							不明	Kanzawa-Kiriyama et al.[2017]		不明	Haplogrep2.0						[16]				
JP10423	423	64	JP	日本	4	中部地方	23	愛知県			35.21845286	136.8512911	朝日遺跡		IAS 95No.8	女性	25歳前後	1305596	1651115	1478356	946	-665									右側頭骨	ND							不明	Kanzawa-Kiriyama et al.[2017]		不明	Haplogrep2.0						[16]				
JP10423	423	65	JP	日本	4	中部地方	23	愛知県			35.21845286	136.8512911	朝日遺跡		IAS 95No.9	不明	4-5歳	1305596	1651115	1478356	946	-665									左側頭骨	ND							不明	Kanzawa-Kiriyama et al.[2017]		不明	Haplogrep2.0						[16]				
JP10423	423	66	JP	日本	4	中部地方	23	愛知県			35.21845286	136.8512911	朝日遺跡		IAS 95No.12	女性	40歳以上	1305596	1651115	1478356	946	-665	弥生中期から後期							D4g1b	右側頭骨	C1?							D4g1b	Kanzawa-Kiriyama et al.[2017]		D4g1b	Haplogrep2.0	0.924	0 [0-0.950]				[16]				
JP10423	423	67	JP	日本	4	中部地方	23	愛知県			35.21845286	136.8512911	朝日遺跡		IAS 95No.13	女性(男性と書く文献もあり)	20歳台前半	1305596	1651115	1478356	946	-665	弥生中期から後期					炭素14年代 2528±21-較正年代 (cal)1σ(68.2%) 770-560 BC-2σ(95.4%)775-540 BC		B4c1a1a1a	右側頭骨	B4c							B4c1a1a1a	Kanzawa-Kiriyama et al.[2017]		B4c1a1a1a	Haplogrep2.0	0.901	0 [0-0.005]				[16]	[17]			
JP10423	423	68	JP	日本	4	中部地方	23	愛知県			35.21845286	136.8512911	朝日遺跡		IAS 95No.22	女性	20歳台	1305596	1651115	1478356	946	-665									右側頭骨	N9a							不明	Kanzawa-Kiriyama et al.[2017]		H2a2a1	Haplogrep2.0	0.500					[16]				
JP10845	845	69	JP	日本	8	九州地方	45	宮崎県			32.04945531	130.7861246	島内地下式横穴		島内地下式横穴147号墓 1号	女性	壮年	1841407	2008323	1924865	457	557.5									左側頭骨	notM?																	[18]				
JP10845	845	70	JP	日本	8	九州地方	45	宮崎県			32.04945531	130.7861246	島内地下式横穴		島内地下式横穴 148号墓 3号	男性	壮年後期	1841407	2008323	1924865	457	557.5	古墳時代							M7a1a2	左側頭骨	D4? (not D4a,b,e,g,h,j,o )										M7a1a2	Haplogrep2.0	0.6909	0.145[0.04-02.5]				[18]				
JP10845	845	71	JP	日本	8	九州地方	45	宮崎県			32.04945531	130.7861246	島内地下式横穴		島内地下式横穴151号墓 1号	不明	成人	1841407	2008323	1924865	457	557.5									右側頭骨	D4b2?																	[18]				
