地方区分	都道府県	遺跡	標本番号	年	時代	mtDNA	Y-DNA	性別
東北		青鳥貝塚	 Aoshima No.1 - Tohoku	3435	縄文 時代 (assumed Late)	N9d1		
東北		二子貝塚	 Futago RJ003 - Tohoku	3435	縄文 時代 (assumed Late)	M7a2a		
東北		東道の上遺跡	 Higashimichinoue TH-42 (DMl75) - Tohoku	3435	縄文 時代 (assumed Late)	N9b		
東北		細浦貝塚	 Hosoura No.2 - Tohoku	3435	縄文 時代 (assumed Late)	M7a2		
東北		熊穴洞穴遺跡	 Kumaana 1978 - Tohoku	3435	縄文 時代 (assumed Late)	M7a1*		
東北			 Nonomae No.2012-4 - Tohoku	3435	縄文 時代 (assumed Late)	N9b5		
東北		里浜貝塚	 Satohama bangai2 - Tohoku	3435	縄文 時代 (assumed Late)	N9b2a		
東北			 Suezaki - Tohoku	3435	縄文 時代 (assumed Late)	N9b4		
東北		寺下遺跡	 Terashita TH-41 (B4) - Tohoku	3435	縄文 時代 (assumed Late)	N9b4		
東北		獺沢貝塚	 Usozawa NoName - Tohoku	3435	縄文 時代 (assumed Late)	M7a2a1		
関東	千葉県	六通貝塚	 I13887 - Rokutsu Shell Mound	4032	縄文 Final	N9b1	D-CTS3097 (D1a2a1c1)	
関東	千葉県	六通貝塚	 I13886 - Rokutsu Shell Mound	4003	縄文 Final	N9b1	D-CTS3097 (D1a2a1c1)	
関東	千葉県	六通貝塚	 I13883 - Rokutsu Shell Mound	2859	縄文 Final	N9b2a	D-CTS11032 (D1a2a1c1a)	
関東	千葉県	六通貝塚	 I13884 - Rokutsu Shell Mound	4351	日本_縄文	N9b		
関東	千葉県	草刈遺跡	 Kusakari 82028 - Kanta	3435	縄文 時代 (assumed Late)	N9b4		
関東	千葉県	草刈遺跡	 Kusakari 8202A - Kanta	3435	縄文 時代 (assumed Late)	N9d*		
関東	千葉県	草刈遺跡	 Kusakari 8516A - Kanta	3435	縄文 時代 (assumed Late)	N9b2		
関東	埼玉県	夫婦岩岩陰遺跡	 Meotoiwa LLM3 - Kanta	3435	縄文 時代 (assumed Late)	N9d?		
関東	東京都	西ヶ原遺跡	 Nishigahara No.6 - Kanta	3435	縄文 時代 (assumed Late)	N9b5		
関東	東京都	西ヶ原遺跡	 Nishigahara No.9 - Kanta	3435	縄文 時代 (assumed Late)	N9d1		
関東	千葉県	六通貝塚	 I13882 - Rokutsu Shell Mound	3234	日本_縄文	N9b		
関東	千葉県	六通貝塚	 I13885 - Rokutsu Shell Mound	3216	日本_縄文	N9b		
中部	長野県	栃原岩陰洞窟遺跡	 Tochibara K-2 - Cyubu	3435	縄文 時代 (assumed Late)	N9b3		
中部	長野県	栃原岩陰洞窟遺跡	 Tochibara K-4 - Cyubu	3435	縄文 時代 (assumed Late)	N9b3		
中国			 Tsukumo mubango - Cyugoku	3435	縄文 時代 (assumed Late)	M7a1a2?		
中国			 Tsukumo No.1 - Cyugoku	3435	縄文 時代 (assumed Late)	M7a1a1?		
九州	佐賀県	東名遺跡	 Higashimyo - Higashimyo shell midden site at Saga City, Kyushu Island	7720	Initial 縄文	M7a1a*	D-CTS3097 (D1a)	
九州	福岡県	桑原遺跡	 Kuwabara No.1 - Kyusyu	3435	縄文 時代 (assumed Late)	M7a1		
九州	福岡県	桑原遺跡	 Kuwabara No.6 - Kyusyu	3435	縄文 時代 (assumed Late)	N9d		
九州			 MiuraAnjin - Hirado, Nagasaki	308	Shogun (Samurai from England)	H1e2b		
沖縄		伊江島	 lejima F - Okinawa	3435	縄文 時代 (assumed Late)	M7a1a?		
沖縄		伊江島	 lejima M2 - Okinawa	3435	縄文 時代 (assumed Late)	M7a1a		
沖縄		伊江島	 lejima Ml - Okinawa	3435	縄文 時代 (assumed Late)	M7a1a		
九州	宮崎県				古墳時代	A		
九州	宮崎県				古墳時代	A		
九州	宮崎県				古墳時代	B		
九州	宮崎県				古墳時代	B		
九州	宮崎県				古墳時代	B		
九州	宮崎県				古墳時代	D4		
九州	宮崎県				古墳時代	D4		
九州	宮崎県				古墳時代	D4		
九州	宮崎県				古墳時代	D4		
九州	宮崎県				古墳時代	D4		
九州	宮崎県				古墳時代	F		
九州	宮崎県				古墳時代	F		
九州	宮崎県				古墳時代	F		
九州	宮崎県				古墳時代	N9b		
九州	宮崎県				古墳時代	M7		
九州	宮崎県				古墳時代	M8		
北海道	北海道	浜中２遺跡	NAT002	1060－1155 calAD	オホーツク文化終末期	G1b		成人女性
