key	language_en_us	language_ja_jp	language_zh_tw	language_zh_cn	language_ko_kr	language_es	language_pt	language_de	language_fr	language_it	language_tr	language_pl	language_el	language_nl	language_cs	language_uk	language_ru	language_id	language_fa	language_ar	language_null
menu_bar_map_soil_temperature	Soil Temperature	土壌温度	土壌温度	土壌温度	토양 온도	Temperatura del suelo	Temperatura do solo	Bodentemperatur	Température du sol	Temperatura del suolo	Toprak Sıcaklığı	Temperatura gleby	Θερμοκρασία εδάφους	Bodem Temperatuur	Teplota půdy	Температура ґрунту	Температура почвы	Suhu Tanah	دمای خاک	درجة حرارة التربة	Soil Temperature
menu_bar_map_ryosei_country	Ryosei Country	令制国	令制国	令制国	율령국	País Ryosei	País de Ryosei	Ryosei Land	Pays Ryosei	Paese Ryosei	Ryosei Ülkesi	Kraj Ryosei	Χώρα Ryosei	Ryosei Land	Země Ryosei	Країна Рьосей	Страна Рёсэй	Negara Ryosei	کشور Ryosei	دولة Ryosei	Ryosei Country
menu_bar_map_ryosei_line	Ryosei Line	令制国線	令制国線	令制国線	율령국선	Línea Ryosei	Linha de Ryosei	Ryosei Linie	Ligne Ryosei	Linea Ryosei	Ryosei Line	Linia Ryosei	Γραμμή Ryosei	Ryosei Lijn	Linie Ryosei	Лінія Рьосей	Линия Рёсэй	Garis Ryosei	خط Ryosei	خط Ryosei	Ryosei Line
menu_bar_map_slope	Slope	傾斜	坡度	坡度	경사면	Pendiente	Declive	Gefälle	Pente	Pendenza	Eğim	Nachylenie	Κλίση	Helling	Svah	Схил	Склон	Kemiringan	شیب	ميل	Slope
menu_bar_map_lakes_and_rivers1	Lakes and rivers1	湖川1	河流和湖泊1	河流和湖泊1	호수와 강1	Lagos y ríos1	Lagos e rios1	Seen und Flüsse1	Lacs et rivières1	Laghi e fiumi1	Göller ve nehirler1	Jeziora i rzeki1	Λίμνες και ποτάμια1	Meren en rivieren1	Jezera a řeky1	Озера та річки1	Озера и реки1	Danau dan sungai1	دریاچه ها و رودخانه ها 1	البحيرات والأنهار 1	Lakes and rivers1
menu_bar_map_lakes_and_rivers2	Lakes and rivers2	湖川2	河流和湖泊2	河流和湖泊2	호수와 강2	Lagos y ríos2	Lagos e rios2	Seen und Flüsse2	Lacs et rivières2	Laghi e fiumi2	Göller ve nehirler2	Jeziora i rzeki2	Λίμνες και ποτάμια2	Meren en rivieren2	Jezera a řeky2	Озера та річки2	Озера и реки2	Danau dan sungai2	دریاچه ها و رودخانه ها 2	البحيرات والأنهار 2	Lakes and rivers2
menu_bar_map_line1	Line1	線1	線1	線1	선1	Línea1	Linha1	Linie1	Ligne 1	Linea1	Hat1	Linia1	Γραμμή1	Lijn1	Linie1	Лінія1	Линия1	Garis1	خط 1	خط 1	Line1
menu_bar_map_line2	Line2	線2	線2	線2	선2	Línea2	Linha 2	Linie2	Ligne 2	Linea2	Hat2	Linia2	Γραμμή2	Lijn2	Linie2	Лінія2	Линия2	Jalur2	خط 2	خط 2	Line2
> calendar																					
calendar_japan	Japanese cal.	和暦	JP曆	JP历	JP력	Cal. japonés	Cal. japonesa	Japanisches Kal.	Cal. japonais	Cal. giapponese	Japon Takvimi	Kal. japoński	Ιαπωνικά cal.	Japanse kal.	Japonský kal.	Японський кал.	Японский кал.	Kal. Jepang	تقویم ژاپنی	التقويم الياباني	Japanese cal.
calendar_gregorian	Gregorian cal.	グレゴリオ暦	公曆	公历	그레고리력	Cal. gregoriano	Cal. gregoriana	Gregorianisches Kal.	Cal. grégorien	Cal. gregoriano	Miladi Takvim	Kal. gregoriański	Γρηγοριανό cal.	Gregoriaanse kal.	Gregoriánský kal.	Григоріанський кал.	Григорианский кал.	Kal. Gregorian	تقویم میلادی	التقويم الميلادي	Gregorian cal.
calendar_julian	Julian cal.	ユリウス暦	儒略曆	儒略历	율리우스력	Cal. juliano	Cal. juliano	Julianisches Kal.	Cal. julien	Cal. giuliano	Jülyen Takvimi	Kal. juliański	Ιουλιανό cal.	Juliaanse kal.	Juliánský kal.	Юліанський кал.	Юлианский кал.	Kal. Julian	تقویم جولیان	تقويم جوليان	Julian cal.
calendar_julian_day	Julian day	ユリウス通日	儒略日	儒略日	율리우스일	Día juliano	Dia Juliano	Julianischer Tag	Jour julien	Giorno giuliano	Julian günü	Dzień juliański	Ιουλιανή ημέρα	Juliaanse dag	Juliánský den	Юліанський день	Юлианский день	Hari Julian	روز جولیان	يوم جوليان	Julian day
calendar_calbp	cal BP	較正年代	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP	cal BP
calendar_hijri	Hijri cal.	ヒジュラ暦	伊斯兰曆	伊斯兰历	이슬람력	Cal. hijri	Cal. Hijri	Hijri Kal.	Cal. hijri	Cal. hijri	Hijri Takvimi	Kal. hijri	Hijri cal.	Hijri kal.	Hijri kal.	Hijri кал.	Hijri кал.	Kal. Hijri	تقویم اسلامی	تقويم هجري	Hijri cal.
> debug																					
debug_magnification_power	Magnification power	拡大率	放大率	放大率	확대율	Potencia de aumento	Potência de ampliação	Vergrößerungsmaßstab	Puissance d'agrandissement	Potenza di ingrandimento	Büyütme gücü	Moc powiększenia	Δύναμη μεγέθυνσης	Mate van vergroting	Výkon zvětšení	Потужність збільшення	Кратность увеличения	Kekuatan pembesaran	قدرت بزرگنمایی	قوة التكبير	Magnification power
debug_mercator_longitude	Mercator longitude	メルカトル経度	麥卡托経度	麥卡托经度	메르카토르 경도	Longitud Mercator	Longitude de Mercator	Mercator Längengrad	Longitude de Mercator	Longitudine Mercatore	Merkatör boylamı	Długość geograficzna Merkatora	Γεωγραφικό μήκος Mercator	Mercator lengtegraad	Mercatorova zeměpisná délka	Довгота Меркатора	Меркаторская долгота	Bujur Mercator	طول جغرافیایی مرکاتور	خط الطول مركاتور	Mercator longitude
debug_mercator_latitude	Mercator latitude	メルカトル緯度	麥卡托緯度	麥卡托纬度	메르카토르 위도	Latitud Mercator	Latitude de Mercator	Mercator-Breitengrad	Latitude de Mercator	Latitudine di Mercatore	Merkatör enlemi	Szerokość geograficzna Merkatora	Γεωγραφικό πλάτος Mercator	Mercator breedtegraad	Mercatorova zeměpisná šířka	Широта Меркатора	Меркаторская широта	Lintang Mercator	عرض جغرافیایی مرکاتور	خط عرض مركاتور	Mercator latitude
debug_latitude	Latitude	緯度	緯度	纬度	위도	Latitud	Latitude	Breitengrad	Latitude	Latitudine	Enlem	Szerokość geograficzna	Γεωγραφικό πλάτος	Breedtegraad	Zeměpisná šířka	Широта	широта	Lintang	عرض جغرافیایی	خط العرض	Latitude
debug_xyz_tiles_z	XYZ Tiles Z	XYZタイル Z	XYZ瓦片 Z	XYZ瓦片 Z	XYZ타일 Z	Azulejos XYZ Z	XYZ Azulejos Z	XYZ Kacheln Z	Carreaux XYZ Z	XYZ Piastrelle Z	XYZ Karolar Z	XYZ Płytki Z	XYZ Πλακάκια Z	XYZ tegels Z	XYZ Dlaždice Z	XYZ Плитка Z	XYZ Плитка Z	Ubin XYZ Ubin Z	کاشی XYZ Z	XYZ البلاط Z	XYZ Tiles Z
> sueki																					
sueki_nakamura	Sue pottery Nakamura	須恵器 中村(1993)	須恵器 中村(1993)	須恵器 中村(1993)	須恵器(수혜기) 나카무라	Cerámica Sue Nakamura	Cerâmica Sue Nakamura	Sue Töpferei Nakamura	Sue poterie Nakamura	Sue ceramiche Nakamura	Sue çömlek Nakamura	Sue ceramika Nakamura	Sue κεραμικά Nakamura	Sue aardewerk Nakamura	Sue keramika Nakamura	Сью гончар Накамура	Сью керамика Накамура	Tuntut tembikar Nakamura	سو سفال Nakamura	الفخار سو Nakamura	Sue pottery Nakamura
sueki_tanabe	Sue pottery Tanabe	須恵器 田辺(1983)	須恵器 田辺(1983)	須恵器 田辺(1983)	須恵器(수혜기) 타나베	Cerámica Sue Tanabe	Cerâmica Sue Tanabe	Sue-Töpferei Tanabe	Sue poterie Tanabe	Sue ceramiche Tanabe	Sue çömlek Tanabe	Sue ceramika Tanabe	Sue κεραμική Tanabe	Sue aardewerk Tanabe	Sue keramika Tanabe	Сью гончар Танабе	Сью керамика Танабе	Tuntut tembikar Tanabe	سو سفال Tanabe	سو الفخار Tanabe	Sue pottery Tanabe
> gengo																					
gengo_0	Before Jimmu	神武天皇即位前	神武天皇即位前	神武天皇即位前	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu	Before Jimmu
gengo_1	Emperor Jimmu	神武天皇	神武天皇	神武天皇	황제 Jimmu	Emperador Jimmu	Imperador Jimmu	Kaiser Jimmu	Empereur Jimmu	Imperatore Jimmu	İmparator Jimmu	Imperator Jimmu	Αυτοκράτορας Jimmu	Keizer Jimmu	Císař Jimmu	Імператор Jimmu	Император Jimmu	Kaisar Jimmu	Emperor Jimmu	Emperor Jimmu	Emperor Jimmu
gengo_2	Emperor Suizei	綏靖天皇	綏靖天皇	綏靖天皇	황제 Suizei	Emperador Suizei	Imperador Suizei	Kaiser Suizei	Empereur Suizei	Imperatore Suizei	İmparator Suizei	Imperator Suizei	Αυτοκράτορας Suizei	Keizer Suizei	Císař Suizei	Імператор Suizei	Император Suizei	Kaisar Suizei	Emperor Suizei	Emperor Suizei	Emperor Suizei
gengo_3	Emperor Annei	安寧天皇	安寧天皇	安寧天皇	황제 Annei	Emperador Annei	Imperador Annei	Kaiser Annei	Empereur Annei	Imperatore Annei	İmparator Annei	Imperator Annei	Αυτοκράτορας Annei	Keizer Annei	Císař Annei	Імператор Annei	Император Annei	Kaisar Annei	Emperor Annei	Emperor Annei	Emperor Annei
gengo_4	Emperor Itoku	懿徳天皇	懿德天皇	懿德天皇	황제 Itoku	Emperador Itoku	Imperador Itoku	Kaiser Itoku	Empereur Itoku	Imperatore Itoku	İmparator Itoku	Imperator Itoku	Αυτοκράτορας Itoku	Keizer Itoku	Císař Itoku	Імператор Itoku	Император Itoku	Kaisar Itoku	Emperor Itoku	Emperor Itoku	Emperor Itoku
gengo_5	Emperor Kōshō	孝昭天皇	孝昭天皇	孝昭天皇	황제 Kōshō	Emperador Kōshō	Imperador Kōshō	Kaiser Kōshō	Empereur Kōshō	Imperatore Kōshō	İmparator Kōshō	Imperator Kōshō	Αυτοκράτορας Kōshō	Keizer Kōshō	Císař Kōshō	Імператор Kōshō	Император Kōshō	Kaisar Kōshō	Emperor Kōshō	Emperor Kōshō	Emperor Kōshō
gengo_6	Emperor Kōan	孝安天皇	孝安天皇	孝安天皇	황제 Kōan	Emperador Kōan	Imperador Kōan	Kaiser Kōan	Empereur Kōan	Imperatore Kōan	İmparator Kōan	Imperator Kōan	Αυτοκράτορας Kōan	Keizer Kōan	Císař Kōan	Імператор Kōan	Император Kōan	Kaisar Kōan	Emperor Kōan	Emperor Kōan	Emperor Kōan
gengo_7	Emperor Kōrei	孝霊天皇	孝靈天皇	孝靈天皇	황제 Kōrei	Emperador Kōrei	Imperador Kōrei	Kaiser Kōrei	Empereur Kōrei	Imperatore Kōrei	İmparator Kōrei	Imperator Kōrei	Αυτοκράτορας Kōrei	Keizer Kōrei	Císař Kōrei	Імператор Kōrei	Император Kōrei	Kaisar Kōrei	Emperor Kōrei	Emperor Kōrei	Emperor Kōrei
gengo_8	Emperor Kōgen	孝元天皇	孝元天皇	孝元天皇	황제 Kōgen	Emperador Kōgen	Imperador Kōgen	Kaiser Kōgen	Empereur Kōgen	Imperatore Kōgen	İmparator Kōgen	Imperator Kōgen	Αυτοκράτορας Kōgen	Keizer Kōgen	Císař Kōgen	Імператор Kōgen	Император Kōgen	Kaisar Kōgen	Emperor Kōgen	Emperor Kōgen	Emperor Kōgen
gengo_9	Emperor Kaika	開化天皇	開化天皇	開化天皇	황제 Kaika	Emperador Kaika	Imperador Kaika	Kaiser Kaika	Empereur Kaika	Imperatore Kaika	İmparator Kaika	Imperator Kaika	Αυτοκράτορας Kaika	Keizer Kaika	Císař Kaika	Імператор Kaika	Император Kaika	Kaisar Kaika	Emperor Kaika	Emperor Kaika	Emperor Kaika
gengo_10	Emperor Sujin	崇神天皇	崇神天皇	崇神天皇	황제 Sujin	Emperador Sujin	Imperador Sujin	Kaiser Sujin	Empereur Sujin	Imperatore Sujin	İmparator Sujin	Imperator Sujin	Αυτοκράτορας Sujin	Keizer Sujin	Císař Sujin	Імператор Sujin	Император Sujin	Kaisar Sujin	Emperor Sujin	Emperor Sujin	Emperor Sujin
gengo_11	Emperor Suinin	垂仁天皇	垂仁天皇	垂仁天皇	황제 Suinin	Emperador Suinin	Imperador Suinin	Kaiser Suinin	Empereur Suinin	Imperatore Suinin	İmparator Suinin	Imperator Suinin	Αυτοκράτορας Suinin	Keizer Suinin	Císař Suinin	Імператор Suinin	Император Suinin	Kaisar Suinin	Emperor Suinin	Emperor Suinin	Emperor Suinin
gengo_12	Emperor Keikō	景行天皇	景行天皇	景行天皇	황제 Keikō	Emperador Keikō	Imperador Keikō	Kaiser Keikō	Empereur Keikō	Imperatore Keikō	İmparator Keikō	Imperator Keikō	Αυτοκράτορας Keikō	Keizer Keikō	Císař Keikō	Імператор Keikō	Император Keikō	Kaisar Keikō	Emperor Keikō	Emperor Keikō	Emperor Keikō
gengo_13	Emperor Seimu	成務天皇	成務天皇	成務天皇	황제 Seimu	Emperador Seimu	Imperador Seimu	Kaiser Seimu	Empereur Seimu	Imperatore Seimu	İmparator Seimu	Imperator Seimu	Αυτοκράτορας Seimu	Keizer Seimu	Císař Seimu	Імператор Seimu	Император Seimu	Kaisar Seimu	Emperor Seimu	Emperor Seimu	Emperor Seimu
gengo_14	Emperor Chūai	仲哀天皇	仲哀天皇	仲哀天皇	황제 Chūai	Emperador Chūai	Imperador Chūai	Kaiser Chūai	Empereur Chūai	Imperatore Chūai	İmparator Chūai	Imperator Chūai	Αυτοκράτορας Chūai	Keizer Chūai	Císař Chūai	Імператор Chūai	Император Chūai	Kaisar Chūai	Emperor Chūai	Emperor Chūai	Emperor Chūai
gengo_15	Empress Jingū	神功皇后	神功皇后	神功皇后	황후 Jingū	Emperatriz Jingū	Imperatriz Jingū	Kaiserin Jingū	Impératrice Jingū	Imperatrice Jingū	İmparatoriçe Jingū	Cesarzowa Jingū	Αυτοκράτειρα Jingū	Keizerin Jingū	Císařovna Jingū	Імператриця Jingū	Императрица Jingū	Permaisuri Jingū	Empress Jingū	Empress Jingū	Empress Jingū
gengo_16	Emperor Ōjin	応神天皇	應神天皇	應神天皇	황제 Ōjin	Emperador Ōjin	Imperador Ōjin	Kaiser Ōjin	Empereur Ōjin	Imperatore Ōjin	İmparator Ōjin	Imperator Ōjin	Αυτοκράτορας Ōjin	Keizer Ōjin	Císař Ōjin	Імператор Ōjin	Император Ōjin	Kaisar Ōjin	Emperor Ōjin	Emperor Ōjin	Emperor Ōjin
gengo_17	Emperor Nintoku	仁徳天皇	仁德天皇	仁德天皇	황제 Nintoku	Emperador Nintoku	Imperador Nintoku	Kaiser Nintoku	Empereur Nintoku	Imperatore Nintoku	İmparator Nintoku	Imperator Nintoku	Αυτοκράτορας Nintoku	Keizer Nintoku	Císař Nintoku	Імператор Nintoku	Император Nintoku	Kaisar Nintoku	Emperor Nintoku	Emperor Nintoku	Emperor Nintoku
gengo_18	Emperor Richū	履中天皇	履中天皇	履中天皇	황제 Richū	Emperador Richū	Imperador Richū	Kaiser Richū	Empereur Richū	Imperatore Richū	İmparator Richū	Imperator Richū	Αυτοκράτορας Richū	Keizer Richū	Císař Richū	Імператор Richū	Император Richū	Kaisar Richū	Emperor Richū	Emperor Richū	Emperor Richū
gengo_19	Emperor Hanzei	反正天皇	反正天皇	反正天皇	황제 Hanzei	Emperador Hanzei	Imperador Hanzei	Kaiser Hanzei	Empereur Hanzei	Imperatore Hanzei	İmparator Hanzei	Imperator Hanzei	Αυτοκράτορας Hanzei	Keizer Hanzei	Císař Hanzei	Імператор Hanzei	Император Hanzei	Kaisar Hanzei	Emperor Hanzei	Emperor Hanzei	Emperor Hanzei
gengo_20	Emperor Ingyō	允恭天皇	允恭天皇	允恭天皇	황제 Ingyō	Emperador Ingyō	Imperador Ingyō	Kaiser Ingyō	Empereur Ingyō	Imperatore Ingyō	İmparator Ingyō	Imperator Ingyō	Αυτοκράτορας Ingyō	Keizer Ingyō	Císař Ingyō	Імператор Ingyō	Император Ingyō	Kaisar Ingyō	Emperor Ingyō	Emperor Ingyō	Emperor Ingyō
gengo_21	Emperor Ankō	安康天皇	安康天皇	安康天皇	황제 Ankō	Emperador Ankō	Imperador Ankō	Kaiser Ankō	Empereur Ankō	Imperatore Ankō	İmparator Ankō	Imperator Ankō	Αυτοκράτορας Ankō	Keizer Ankō	Císař Ankō	Імператор Ankō	Император Ankō	Kaisar Ankō	Emperor Ankō	Emperor Ankō	Emperor Ankō
