language_ja_jp	language_en_us	longitude	latitude
堀川町	ほりかわちよう	140.743866	41.778187
高盛町	たかもりちよう	140.744446	41.774075
宇賀浦町	うがうらちよう	140.744232	41.771122
下湯川村	しもゆのかわむら	140.795529	41.7947
深堀村	ふかぼりむら	140.775307	41.788984
上湯川村	かみゆのかわむら	140.834686	41.818027
亀尾村	かめおむら	140.893888	41.811956
湯川町	ゆのかわちよう	140.788976	41.779355
湯倉町	ゆくらちよう	140.785164	41.786236
鮫川町	さめかわちよう	140.785912	41.779528
湯浜町	ゆのはまちよう	140.775564	41.778005
駒場町	こまばちよう	140.769505	41.778494
深堀町	ふかぼりちよう	140.775307	41.788984
花園町	はなぞのちよう	140.779312	41.789253
日吉町	ひよしちよう	140.789761	41.795952
榎本町	えのもとちよう	140.788549	41.781921
滝沢町	たきさわちよう	140.802338	41.800735
上野町	うえのちよう	140.799484	41.785923
高丘町	たかおかちよう	140.803345	41.789322
見晴町	みはらしちよう	140.812805	41.799255
戸倉町	とぐらちよう	140.798485	41.78084
根崎村	ねさきむら	140.804657	41.772715
志苔村	しのりむら	140.825974	41.772991
銭亀沢村	ぜにかめざわむら	140.851486	41.767894
汐泊村	しおとまりむら	140.847366	41.760963
石崎村	いしざきむら	140.889628	41.760529
根崎町	ねさきちよう	140.795105	41.779011
高松町	たかまつちよう	140.800995	41.777107
亀田村	かめだむら	140.744015	41.793364
桔梗村	ききようむら	140.732323	41.841595
赤川村	あかがわむら	140.758476	41.830303
石川村	いしかわむら	140.736699	41.819758
上山村	かみやまむら	140.771002	41.821424
鍛冶村	かじむら	140.773611	41.807244
港町	みなとちよう	140.720798	41.803028
小松前町	こまつまいまち	140.107239	41.430748
湯殿沢町	ゆどのさわまち	140.105576	41.430052
寺町	てらまち	140.107239	41.430748
荒町	あらまち	140.107239	41.430748
新荒町	しんあらまち	140.107239	41.430748
大松前町	おおまつまいまち	140.111603	41.431828
枝ヶ崎町	えだがさきまち	140.111603	41.431828
中町	なかまち	140.111603	41.431828
横町	よこまち	140.111603	41.431828
川原町	かわらまち	140.111603	41.431828
中川原町	なかかわらまち	140.111603	41.431828
袋町	ふくろまち	140.111603	41.431828
蔵町	くらまち	140.111603	41.431828
神明町	しんめいまち	140.112312	41.444447
泊川町	とまりかわまち	140.123032	41.429497
端立町	はたてまち	140.116486	41.435444
馬形上町	まかどうえまち	140.116486	41.435444
東上町	ひがしうえまち	140.116486	41.435444
東新町	ひがししんまち	140.116486	41.435444
東中町	ひがしなかまち	140.116486	41.435444
東下町	ひがししたまち	140.116486	41.435444
東横町	ひがしよこまち	140.116486	41.435444
伝治沢町	でんじさわまち	140.119837	41.436677
寅向町	どらめきまち	140.124878	41.43115
上野町	うえのまち	140.119995	41.445091
唐津内町	からつないまち	140.103912	41.429356
西館町	にしだてまち	140.099767	41.43984
西館寺町	にしだててらまち	140.103912	41.429356
今町	いままち	140.103912	41.429356
唐津内沢町	からつないさわまち	140.099767	41.43984
博知石町	ばくちいしまち	140.100235	41.428658
愛宕町	あたごまち	140.092957	41.445087
生符町	いけつぷまち	140.086395	41.426659
白川町	しらかわまち	140.088079	41.434461
総社堂町	そうしやどうまち	140.082275	41.426817
根部田村	ねぶたむら	140.07132	41.460571
札前村	さつまえむら	140.046127	41.470135
赤神村	あかがみむら	140.073624	41.492912
雨垂石村	あまだれいしむら	140.033234	41.493721
茂草村	もぐさむら	140.096375	41.520107
清部村	きよべむら	140.047287	41.530621
江良町村	えらまちむら	140.039856	41.561125
おこしへ村	おこしへむら	140.022247	41.59827
原口村	はらぐちむら	140.006897	41.608179
及部村	およべむら	140.13087	41.45239
下及部村	しもおよべむら	140.12336	41.438948
上及部村	かみおよべむら	140.145889	41.479275
根森村	ねもりむら	140.171768	41.44833
大沢村	おおさわむら	140.171768	41.44833
荒谷村	あらやむら	140.180847	41.430538
炭焼沢村	すみやきざわむら	140.188004	41.41235
松城町	まつしろまち	140.107239	41.430748
山之上町	やまのうえまち	140.119995	41.445091
馬形中町	まかどなかまち	140.116486	41.435444
馬形下町	まかどしたまち	140.116486	41.435444
及部町	およべまち	140.12336	41.438948
大沢村	おおさわむら	140.171768	41.44833
福島村	ふくしまむら	140.265452	41.508896
釜谷村	かまやむら	140.271896	41.503284
白符村	しらふむら	140.216187	41.473038
宮歌村	みやのうたむら	140.230026	41.456512
吉岡村	よしおかむら	140.220963	41.445978
礼髭村	れいひげむら	140.213127	41.425026
知内村	しりうちむら	140.378706	41.602188
脇本村	わきもとむら	140.39946	41.564018
小谷石村	こたにいしむら	140.410065	41.538483
木古内村	きこないむら	140.410631	41.689064
瓜谷村	うりやむら	140.377243	41.699669
札苅村	さつかりむら	140.463242	41.718531
泉沢村	いずみさわむら	140.502403	41.717582
釜谷村	かまやむら	140.533951	41.733068
三石村	みついしむら	140.570526	41.733687
当別村	とうべつむら	140.576376	41.745762
茂辺地村	もへじむら	140.598082	41.785552
矢不来村	やふらいむら	140.603729	41.786612
富川村	とみがわむら	140.61174	41.806131
三谷村	みつやむら	140.612997	41.824498
三好村	みよしむら	140.583893	41.830647
戸切地村	へきりちむら	140.638645	41.830648
中野村	なかのむら	140.63884	41.841698
有川村	ありかわむら	140.685751	41.824313
吉田村	よしだむら	140.636027	41.827665
濁川村	にごりかわむら	140.63887	41.851677
清水村	しみずむら	140.63887	41.851677
大野村	おおのむら	140.646136	41.874963
文月村	ふみづきむら	140.611481	41.878529
本郷村	ほんごうむら	140.654579	41.88727
千代田村	ちよだむら	140.671204	41.849045
一本木村	いつぽんぎむら	140.675117	41.835995
市渡村	いちのわたりむら	140.625992	41.920008
七重村	ななえむら	140.717539	41.901347
飯田村	いいだむら	140.675568	41.8946
鶴野村	つるのむら	140.68222	41.878275
中島村	なかじまむら	140.701141	41.860329
大川村	おおかわむら	140.732592	41.868292
藤山村	ふじやまむら	140.684677	41.926405
城山村	しろやまむら	140.684677	41.926405
峠下村	とうげしたむら	140.634613	41.952178
軍川村	いくさがわむら	140.720791	41.975561
小安村	おやすむら	140.949448	41.736801
釜谷	かまや	140.941376	41.741318
汐首崎	しおくびさき	140.957199	41.722301
瀬田来	せたらい	140.974136	41.727398
蓬内	よもぎない	140.974136	41.727398
戸井村	といむら	140.986383	41.769164
鎌哥	かまうた	140.978968	41.818541
原木	はらき	141.02916	41.74509
尻岸内村	しりきしないむら	141.091554	41.774597
日浦	ひうら	141.042633	41.744698
昆布井	こぶい	141.089767	41.788194
根田内	ねたない	141.140436	41.795066
椴法華村	とどほつけむら	141.089284	41.808467
嶋泊	しまどまり	141.013046	41.815033
尾札部村	おさつべむら	141.060654	41.861734
木直	きなおし	141.070755	41.867764
川汲	かつくみ	140.950775	41.890949
臼尻村	うすじりむら	140.91377	41.947245
板木	いたぎ	140.947495	41.9118
磯谷	いそや	140.878616	41.981598
熊泊村	くまどまりむら	140.889821	41.971661
鹿部村	しかべむら	140.787396	42.019981
本別	ほんべつ	140.740372	42.063019
砂原村	さわらむら	140.700346	42.11264
掛澗村	かかりまむら	140.657557	42.10847
尾白内村	おしろないむら	140.603317	42.097109
宿野辺村	しゆくのべむら	140.618871	42.046839
森村	もりむら	140.569845	42.093487
鷲ノ木村	わしのきむら	140.498925	42.118139
蛯谷古丹	えびやこたん	140.49482	42.116642
本茅部	ほんかやべ	140.491592	42.140984
石倉	いしくら	140.443665	42.14042
茂無部村	もなしべむら	140.45372	42.175774
落部村	おとしべむら	140.392587	42.177943
山越内村	やまこしないむら	140.311801	42.208099
八雲村	やくもむら	140.256392	42.265926
長万部村	おしやまんべむら	140.340346	42.517516
東創成町	ひがしそうせいちよう	141.3576	43.061902
西創成町	にしそうせいちよう	141.356513	43.060083
円山村	まるやまむら	141.340845	43.053832
山鼻村	やまはなむら	141.34659	43.039801
篠路村	しのろむら	141.358297	43.143405
琴似村	ことにむら	141.322377	43.109674
札幌村	さつぽろむら	141.357771	43.099413
苗穂村	なえぼむら	141.394054	43.087246
丘珠村	おかだまむら	141.384424	43.111972
雁来村	かりきむら	141.405739	43.084249
白石町	しろいしちよう	141.375502	43.059939
白石村	しろいしむら	141.420231	43.049618
上白石村	かみしろいしむら	141.398423	43.067114
豊平町	とよひらちよう	141.372281	43.048613
月寒村	つきさつぷむら	141.396364	43.019286
平岸村	ひらぎしむら	141.369515	43.029248
豊平村	とよひらむら	141.378336	43.044078
月寒村	つきさつぷむら	141.450682	42.99636
山鼻村	やまはなむら	141.330025	42.995404
平岸村	ひらぎしむら	141.327718	42.977399
琴似村	ことにむら	141.306451	43.080306
発寒村	はつさむむら	141.290248	43.095324
上手稲村	かみていねむら	141.267848	43.073308
下手稲村	しもていねむら	141.23735	43.124547
山口村	やまぐちむら	141.204743	43.136663
千歳村	ちとせむら	141.653827	42.832535
長都村	おさつむら	141.621608	42.852849
蘭越村	らんこしむら	141.614897	42.817423
烏柵舞村	うさくまいむら	141.37814	42.762996
漁村	いざりむら	141.57861	42.882474
島松村	しままつむら	141.574303	42.916739
広島村	ひろしまむら	141.530025	42.973229
江別村	えべつむら	141.537027	43.097666
対雁村	ついしかりむら	141.506992	43.129723
篠津村	しのつむら	141.54002	43.137596
本町	ほんちよう	141.354782	43.24715
弁天町	べんてんちよう	141.348068	43.246868
新町	しんまち	141.356277	43.248447
浜町	はままち	141.360809	43.258518
横町	よこまち	141.348206	43.244614
仲町	なかまち	141.355911	43.247478
船場町	ふなばちよう	141.362473	43.220131
親船町	おやふねちよう	141.34203	43.229443
若生町	わかおいちよう	141.356918	43.242825
八幡町	はちまんちよう	141.433456	43.266043
生振村	おやふるむら	141.388494	43.210978
花畔村	ばんなぐろむら	141.316895	43.168436
樽川村	たるかわむら	141.277243	43.151164
厚田村	あつたむら	141.48114	43.478767
安瀬村	やすせむら	141.431351	43.443783
濃昼村	ごきびるむら	141.403687	43.47876
別狩村	べつかりむら	141.539032	43.463676
小谷村	こたにむら	141.436829	43.376572
押琴村	おしことむら	141.431229	43.363461
古潭村	こたんむら	141.475983	43.378899
嶺泊村	みねとまりむら	141.442749	43.341373
望来村	もうらいむら	141.510818	43.361553
聚富村	しつぷむら	141.415131	43.276749
当別村	とうべつむら	141.511696	43.243401
尻苗村	しりなえむら	141.381088	43.510773
川下村	かわしもむら	141.388824	43.586201
柏木村	かしわぎむら	141.405655	43.573486
清水村	しみずむら	141.405655	43.573486
実田村	みたむら	141.462494	43.60899
茂生村	もいむら	141.392593	43.606808
群別村	くんべつむら	141.461319	43.648567
雄冬村	おふゆむら	141.461319	43.648567
柏木村	かしわぎむら	141.405655	43.573486
群別村	くんべつむら	141.461319	43.648567
有珠村	うすむら	140.810508	42.512408
長流村	おさるむら	140.838803	42.516122
紋鼈村	もんべつむら	140.892696	42.489048
稀府村	まれつぷむら	140.916356	42.444912
黄金蘂村	おこんしべむら	140.942841	42.411402
壮瞥村	そうべつむら	141.080811	42.672535
徳舜瞥村	とくしゆんべつむら	141.070565	42.676068
門別村	もんべつむら	142.193087	42.581367
荷菜摘村	になつみむら	142.252502	42.590885
佐瑠太村	さるふとむら	142.022734	42.520881
富仁家村	とにかむら	142.044525	42.50608
平賀村	びらがむら	142.044105	42.517255
波恵村	はえむら	142.15728	42.504696
慶能舞村	けのまいむら	142.249886	42.491432
賀張村	かばりむら	142.242363	42.456701
厚別村	あつべつむら	142.291174	42.49347
菜実村	なのみむら	142.352051	42.564215
平取村	びらとりむら	142.135473	42.586945
荷菜村	になむら	142.117535	42.565655
紫雲古津村	しうんこつむら	142.0801	42.547868
荷菜摘村	になつみむら		
二風谷村	にぶたにむら	142.174537	42.632535
荷負村	においむら		
貫気別村	ぬきべつむら		
長知内村	おさちないむら	142.22106	42.70061
幌去村	ほろさるむら	142.343967	42.785322
右左府村	うさつぷむら	142.48225	42.860726
高江村	たかえむら	142.316173	42.370187
泊津村	はくつむら	142.353007	42.381209
去童村	さるわらんべむら	142.362541	42.411742
姉去村	あねさるむら	142.372231	42.400066
万揃村	まんそろえむら	142.41714	42.418837
滑若村	なめわかむら	142.471228	42.51413
大狩部村	おおかりべむら	142.270157	42.41264
葉朽村	はくちむら	142.28904	42.424381
受乞村	うけこいむら	142.326897	42.450787
元神部村	もとかんべむら	142.345871	42.46545
比宇村	ひうむら	142.408871	42.539547
下下方村	しもげぼうむら	142.365079	42.341925
中下方村	なかげぼうむら	142.373173	42.352261
上下方村	かみげぼうむら	142.3853	42.352768
目名村	めなむら	142.40033	42.367435
遠仏村	とおぶつむら	142.424744	42.386227
市父村	いちぶむら	142.476196	42.431416
幕別村	まくべつむら	142.476196	42.431416
農家村	のやむら	142.630409	42.484333
碧蘂村	るべしべむら	142.503632	42.389015
有良村	うらむら	142.408885	42.332827
捫別村	もんべつむら	142.478745	42.300114
婦蟹村	ふかにむら	142.502991	42.330654
佐妻村	さめむら	142.517365	42.358887
春立村	はるたちむら	142.489838	42.280991
音江村	おとえむら	142.529404	42.309639
遠別村	とおべつむら	142.529404	42.309639
姨布村	おばふむら	142.559044	42.265133
辺訪村	べほうむら	142.582413	42.279015
神潭村	かむいたんむら	142.607803	42.263863
延出村	のぶしゆつむら	142.587631	42.293007
幌毛村	ほろけむら	142.65802	42.358569
鳧舞村	けりまいむら	142.640648	42.233706
本桐村	ほんきりむら	142.650269	42.27504
歌笛村	うたふえむら	142.703317	42.301317
浦河村	うらかわむら	142.764516	42.179627
鱗別村	うろこべつむら	142.779782	42.165771
茅実村	ちのみむら	142.79417	42.163444
宜保村	へしほむら	142.79873	42.16212
向別村	むこうべつむら	142.78454	42.199378
踏牛村	ふむにうしむら	142.813828	42.16227
後鞆村	しりへとむら	142.824732	42.156867
塘沸村	とうふつむら	142.860802	42.197735
可礼村	べけれむら	142.883789	42.236362
西舎村	にしちやむら	142.912346	42.287878
富菜村	とめなむら	142.868958	42.167046
杵臼村	きねうすむら	142.947906	42.220474
原遠村	はらとおむら	142.947906	42.220474
開深村	ひらきぶかむら	142.706573	42.20116
荻伏村	おぎふしむら	142.674225	42.216457
問民村	とうみんむら	142.674225	42.216457
透消村	とおるけしむら	142.72419	42.225737
姉茶村	あねちやむら	142.748386	42.26173
居壁村	いかべむら	142.82753	42.356255
野深村	のぶかむら	142.82753	42.356255
井寒台村	いかんたいむら	142.766557	42.189366
幌別村	ほろべつむら	142.849571	42.160605
後辺戸村	しりべとむら	142.706573	42.20116
姉茶村	あねちやむら	142.722005	42.230222
野深村	のぶかむら	142.82753	42.356255
様似村	さまにむら	142.929089	42.130132
傍平村	そびらむら	142.915202	42.130221
桐橿村	きりかしむら	142.914459	42.150572
海辺村	うんべむら	142.914459	42.150572
鵜苫村	うとまむら	142.888641	42.154457
岡田村	おかだむら	142.91654	42.161102
逢牛村	あいうしむら	142.930489	42.164425
累地村	るいちむら	142.942276	42.16312
去魔村	さるまむら	142.958811	42.172717
二七村	にななむら	142.995148	42.176376
農助村	のすけむら	142.974838	42.163452
平鵜村	ひらうむら	142.981567	42.131889
門別村	もんべつむら	142.981567	42.131889
染近村	しみちかむら	142.981567	42.131889
白里村	しらりむら	142.981567	42.131889
核蘂村	さねしべむら	143.05101	42.15863
冬島村	ふゆしまむら	143.0662	42.147114
郡内村	くんないむら	143.011948	42.108856
嘯牛村	うそふけうしむら	143.011948	42.108856
小宵村	およいむら	143.011948	42.108856
幌満村	ほろまんむら	143.083176	42.141766
島郡村	しまくんむら	143.045898	42.09816
誓内村	ちかふないむら	143.119293	42.093781
幌泉村	ほろいずみむら	143.178375	42.028735
笛舞村	ふえまいむら	143.157417	42.068895
近呼村	ちかよつぷむら	143.157669	42.074394
歌別村	うたべつむら	143.187119	42.019651
歌露村	うたろむら	143.217453	41.954239
油駒村	あぶらこまむら	143.217453	41.954239
小越村	おごしむら	143.226715	41.974625
庶野村	しよやむら	143.249886	42.011875
猿留村	さるるむら	143.253311	42.132702
長沼村	ながぬまむら	141.687173	43.002178
由仁村	ゆにむら	141.801641	42.97919
角田村	かくたむら	141.831334	43.039784
登川村	のぼりかわむら	142.037202	43.034791
本町	ほんちよう	141.976883	43.061314
旭町	あさひまち	141.965546	43.080612
末広	すえひろ	141.962845	43.049313
鹿の谷	しかのたに	141.962733	43.042458
幌向村	ほろむいむら	141.644647	43.064417
栗沢村	くりさわむら	141.852453	43.132799
岩見沢村	いわみざわむら	141.762384	43.190179
元町	もとまち	141.763788	43.208054
北本町	きたほんちよう	141.760818	43.210045
一条	いちじよう	141.764603	43.205778
二条	にじよう	141.765419	43.204926
三条	さんじよう	141.766182	43.204281
四条	よじよう	141.766708	43.203573
五条	ごじよう	141.767479	43.202848
六条	ろくじよう	141.768188	43.202103
七条	ななじよう	141.769279	43.200827
八条	はちじよう	141.770531	43.199783
九条	くじよう	141.771523	43.198572
宮下町	みやしたちよう	141.772265	43.197831
稔町	みのりちよう	141.759232	43.236137
志文町	しぶんちよう	141.744762	43.157927
上志文町	かみしぶんちよう	141.836502	43.168854
上幌向町	かみほろむいちよう	141.715732	43.183955
中幌向町	なかほろむいちよう	141.678802	43.157627
幌向町	ほろむいちよう	141.662352	43.151912
朝日町	あさひちよう	141.876846	43.170361
奈良町	ならちよう	141.919342	43.178345
高柳町	たかやなぎちよう	141.967819	43.175575
沼貝村	ぬまかいむら	141.869973	43.331618
市来知村	いちきしりむら	141.867459	43.250684
幌内村	ほろないむら	141.901135	43.234216
幾春別村	いくしゆんべつむら	141.952536	43.263212
奈江村	なえむら	141.912963	43.497159
奈井江村	ないえむら	141.893099	43.412817
歌志内村	うたしないむら	142.049856	43.507732
芦別村	あしべつむら	142.19122	43.512675
赤平村	あかびらむら	142.075712	43.548927
滝川村	たきかわむら	141.918523	43.569992
月形村	つきがたむら	141.668976	43.336355
浦臼村	うらうすむら	141.812106	43.432351
新十津川村	しんとつかわむら	141.79117	43.581808
雨竜村	うりゆうむら	141.880061	43.714054
北竜村	ほくりゆうむら	141.869626	43.78185
上北竜村	かみほくりゆうむら	141.940975	43.818214
幌加内村	ほろかないむら	142.15976	44.104281
深川村	ふかがわむら	142.031052	43.730924
一已村	いちやんむら	142.051202	43.725364
多度志村	たどしむら	142.089456	43.843931
納内村	おさむないむら	142.131518	43.731461
音江村	おとえむら	142.080433	43.689619
妹背牛村	もせうしむら		
秩父別村	ちつぷべつむら	141.98218	43.776435
増毛村	ましけむら	141.540637	43.84303
別苅村	べつかりむら	141.449356	43.782646
岩尾村	いわおむら	141.37351	43.767328
舎熊村	しやくまむら	141.593763	43.862506
阿分村	あふんむら	141.633698	43.83189
留萌村	るもいむら	141.653645	43.93626
礼受村	れうけむら	141.634853	43.920453
三泊村	さんどまりむら	141.670781	44.004829
鬼鹿村	おにしかむら	141.685287	44.164829
天登雁村	てんとかりむら	141.663614	44.130329
小平蘂村	おびらしべむら	141.774872	44.009867
苫前村	とままえむら	141.695789	44.337388
白志泊村	しらしとまりむら	141.761	44.255665
力昼村	りきびるむら	141.7536	44.233751
焼尻村	やぎしりむら	141.406815	44.436901
天売村	てうりむら	141.320496	44.427689
羽幌村	はぼろむら	141.743795	44.364781
遠別村	えんべつむら	141.875641	44.681448
天塩村	てしおむら	141.814897	44.889694
幌延村	ほろのべむら	141.87418	45.006937
沙流村	さるむら	141.707886	45.03911
南富良野村	みなみふらのむら	142.539197	43.166004
下富良野村	しもふらのむら	142.432552	43.33085
山部村	やまべむら		
東山村	ひがしやまむら	142.48101	43.23121
上富良野村	かみふらのむら		
中富良野村	なかふらのむら		
旭川村	あさひかわむら	142.350676	43.770115
神居村	かむいむら	142.316959	43.7625
永山村	ながやまむら	142.408165	43.788111
鷹栖村	たかすむら	142.430781	43.858229
神楽村	かぐらむら	142.366645	43.739503
東旭川村	ひがしあさひかわむら	142.420071	43.750725
江丹別村	えたんべつむら	142.24178	43.866083
宮下通	みやしたどおり	142.348679	43.767162
一条通	いちじようどおり	142.349152	43.768414
二条通	にじようどおり	142.349777	43.76952
三条通	さんじようどおり	142.350418	43.770645
四条通	よじようどおり	142.350952	43.771904
五条通	ごじようどおり	142.35173	43.773155
六条通	ろくじようどおり	142.352295	43.773907
七条通	ななじようどおり	142.352554	43.774693
八条通	はちじようどおり	142.353195	43.775494
九条通	くじようどおり	142.354111	43.7771
十条通	じゆうじようどおり	142.368774	43.77494
常盤通	ときわどおり	142.360855	43.776009
中常盤町	なかときわちよう	142.363052	43.775982
上常盤町	かみときわちよう	142.365326	43.775993
栄町	さかえまち	142.344718	43.772982
本町	もとまち	142.357727	43.779041
川端町	かわばたちよう	142.348572	43.782207
大町	おおまち	142.364344	43.784181
旭町	あさひまち	142.361626	43.780464
北門町	ほくもんちよう	142.346191	43.786915
錦町	にしきまち	142.341736	43.785622
緑町	みどりまち	142.337463	43.783573
近文町	ちかぶみちよう	142.334641	43.779678
南一条通	みなみいちじようどおり	142.376938	43.757973
南二条通	みなみにじようどおり	142.376328	43.756939
南三条通	みなみさんじようどおり	142.375687	43.755802
南四条通	みなみよじようどおり	142.375	43.754601
南五条通	みなみごじようどおり	142.374313	43.753304
南六条通	みなみろくじようどおり	142.368546	43.754112
南七条通	みなみななじようどおり	142.368942	43.752655
南八条通	みなみはちじようどおり	142.370743	43.750923
宮前通東	みやまえどおりひがし	142.369836	43.7565
宮前通西	みやまえどおりにし	142.365756	43.758429
旭神町	きよくしんちよう	142.395126	43.730366
豊岡町	とよおかちよう	142.396867	43.766789
東町	ひがしまち	142.394976	43.7539
曙北一条	あけぼのきたいちじよう	142.341075	43.772057
曙一条	あけぼのいちじよう	142.343014	43.770308
曙二条	あけぼのにじよう	142.341062	43.769475
曙三条	あけぼのさんじよう	142.342588	43.767548
亀吉町	かめきちちよう	142.336502	43.775058
新町一条	しんまちいちじよう	142.347241	43.773962
新町二条	しんまちにじよう	142.347632	43.774701
新町三条	しんまちさんじよう	142.34812	43.775465
新町四条	しんまちよじよう	142.348685	43.776434
新町五条	しんまちごじよう	142.350109	43.777662
新星町	しんせいちよう	142.399368	43.778179
パルプ町	ぱるぷちよう	142.394196	43.778748
パルプ町一条	ぱるぷちよういちじよう	142.38501	43.772984
パルプ町二条	ぱるぷちようにじよう	142.386627	43.774075
パルプ町三条	ぱるぷちようさんじよう	142.39212	43.78125
